Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01
1        5.00000000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.00000000e-03    4.66008967e-01    3.41528645e-10    1.09630567e+00    1.09584878e+00
2        6.42585419e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.71102503e-03    2.95563443e-01    3.78186447e-10    1.15272645e+00    1.15230036e+00
3        7.70912297e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.25094756e-03    1.88207544e-01    3.91430094e-10    1.17658132e+00    1.17624247e+00
4        8.99239174e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.07908701e-02    1.17473255e-01    3.96746355e-10    1.18829733e+00    1.18805274e+00
5        1.02756605e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.23307926e-02    6.27321960e-02    3.99791887e-10    1.19606986e+00    1.19591657e+00
6        1.28421981e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.54106377e-02    1.43957639e-02    4.00413946e-10    1.19997415e+00    1.19994183e+00
7        1.54087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.84904827e-02    3.02824001e-03    4.00291367e-10    1.20000723e+00    1.20000691e+00
8        2.04087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.44904827e-02   -3.37287532e-04    4.00321396e-10    1.19999392e+00    1.19999392e+00
9        2.54087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.04904827e-02    2.03015344e-05    4.00306786e-10    1.20000510e+00    1.20000518e+00
10       3.04087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.64904827e-02    1.50487859e-05    4.00313946e-10    1.19999573e+00    1.19999563e+00
11       3.54087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.24904827e-02   -1.68448358e-05    4.00310329e-10    1.20000357e+00    1.20000367e+00
12       4.04087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.84904827e-02    1.49553005e-05    4.00312211e-10    1.19999700e+00    1.19999692e+00
13       4.54087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.44904827e-02   -1.29097307e-05    4.00311206e-10    1.20000251e+00    1.20000258e+00
14       5.04087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.04904827e-02    1.11081544e-05    4.00311775e-10    1.19999790e+00    1.19999783e+00
15       5.54087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.64904827e-02   -9.54684527e-06    4.00311425e-10    1.20000176e+00    1.20000181e+00
16       6.04087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.24904827e-02    8.21032583e-06    4.00311665e-10    1.19999853e+00    1.19999848e+00
17       6.54087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.84904827e-02   -7.05500065e-06    4.00311562e-10    1.20000123e+00    1.20000127e+00
18       7.04087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.44904827e-02    6.06799757e-06    4.00311535e-10    1.19999897e+00    1.19999893e+00
19       7.54087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.04904827e-02   -5.21337434e-06    4.00311529e-10    1.20000086e+00    1.20000089e+00
20       8.04087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.64904827e-02    4.48477312e-06    4.00311527e-10    1.19999928e+00    1.19999925e+00
21       8.54087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.02490483e-01   -3.85237065e-06    4.00311527e-10    1.20000060e+00    1.20000062e+00
22       9.04087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.08490483e-01    3.31474458e-06    4.00311526e-10    1.19999949e+00    1.19999948e+00
23       9.54087356e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.14490483e-01   -2.84656017e-06    4.00311526e-10    1.20000042e+00    1.20000043e+00
24       1.00408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20490483e-01    2.45007377e-06    4.00311526e-10    1.19999964e+00    1.19999963e+00
25       1.05408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.26490483e-01   -2.10324562e-06    4.00311526e-10    1.20000030e+00    1.20000030e+00
26       1.10408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.32490483e-01    1.81106703e-06    4.00311526e-10    1.19999975e+00    1.19999974e+00
27       1.15408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.38490483e-01   -1.55392126e-06    4.00311526e-10    1.20000021e+00    1.20000021e+00
28       1.20408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.44490483e-01    1.33882970e-06    4.00311526e-10    1.19999982e+00    1.19999982e+00
29       1.25408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.50490483e-01   -1.14795974e-06    4.00311526e-10    1.20000014e+00    1.20000015e+00
30       1.30408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.56490483e-01    9.89837793e-07    4.00311526e-10    1.19999988e+00    1.19999987e+00
31       1.35408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.62490483e-01   -8.47946262e-07    4.00311526e-10    1.20000010e+00    1.20000010e+00
32       1.40408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.68490483e-01    7.31926408e-07    4.00311526e-10    1.19999991e+00    1.19999991e+00
33       1.45408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.74490483e-01   -6.26230517e-07    4.00311526e-10    1.20000007e+00    1.20000007e+00
34       1.50408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.80490483e-01    5.41325151e-07    4.00311527e-10    1.19999994e+00    1.19999994e+00
35       1.55408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.86490483e-01   -4.62378331e-07    4.00311527e-10    1.20000005e+00    1.20000005e+00
36       1.60408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.92490483e-01    4.00467295e-07    4.00311527e-10    1.19999996e+00    1.19999996e+00
37       1.65408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.98490483e-01   -3.41288440e-07    4.00311527e-10    1.20000003e+00    1.20000003e+00
38       1.70408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.04490483e-01    2.96370721e-07    4.00311527e-10    1.19999997e+00    1.19999997e+00
39       1.75408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.10490483e-01   -2.51800710e-07    4.00311527e-10    1.20000002e+00    1.20000002e+00
40       1.80408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.16490483e-01    2.19441412e-07    4.00311527e-10    1.19999998e+00    1.19999998e+00
41       1.85408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.22490483e-01   -1.85667581e-07    4.00311527e-10    1.20000002e+00    1.20000001e+00
42       1.90408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.28490483e-01    1.62589215e-07    4.00311527e-10    1.19999998e+00    1.19999998e+00
43       1.95408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.34490483e-01   -1.36793948e-07    4.00311527e-10    1.20000001e+00    1.20000001e+00
44       2.00408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.40490483e-01    1.20574378e-07    4.00311527e-10    1.19999999e+00    1.19999999e+00
45       2.05408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.46490483e-01   -1.00675410e-07    4.00311527e-10    1.20000001e+00    1.20000001e+00
46       2.10408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.52490483e-01    8.95246248e-08    4.00311527e-10    1.19999999e+00    1.19999999e+00
47       2.15408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.58490483e-01   -7.39831292e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
48       2.20408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.64490483e-01    6.65782750e-08    4.00311527e-10    1.19999999e+00    1.19999999e+00
49       2.25408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.70490483e-01   -5.42570304e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
50       2.30408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.76490483e-01    4.96204918e-08    4.00311527e-10    1.20000000e+00    1.19999999e+00
51       2.35408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.82490483e-01   -3.96790716e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
52       2.40408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.88490483e-01    3.70883714e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
53       2.45408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.94490483e-01   -2.89056855e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
54       2.50408736e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.00490483e-01    2.78268989e-08    4.00311527e-10    1.20000000e+00    1.20000000e+00
