TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
0.00000000e+00,0.00000000e+00,-2.31735003e-03,-2.78082004e-03,2.78082004e-03
5.00000000e-11,5.00000000e-11,-2.67032421e-04,-3.20438905e-04,3.20438905e-04
5.15625000e-11,5.15625000e-11,-2.01543110e-04,-2.41851732e-04,2.41851732e-04
5.46875000e-11,5.46875000e-11,-1.14598879e-04,-1.37518654e-04,1.37518654e-04
5.78125000e-11,5.78125000e-11,-8.17075231e-05,-9.80490277e-05,9.80490277e-05
6.09375000e-11,6.09375000e-11,-6.05483234e-05,-7.26579881e-05,7.26579881e-05
6.40625000e-11,6.40625000e-11,-4.50411475e-05,-5.40493770e-05,5.40493770e-05
7.03125000e-11,7.03125000e-11,-2.47336666e-05,-2.96804000e-05,2.96804000e-05
7.65625000e-11,7.65625000e-11,-1.37667051e-05,-1.65200461e-05,1.65200461e-05
8.90625000e-11,8.90625000e-11,-3.95909190e-06,-4.75091028e-06,4.75091028e-06
1.01562500e-10,1.01562500e-10,-1.25076873e-06,-1.50092248e-06,1.50092248e-06
1.26562500e-10,1.26562500e-10,-8.30543224e-10,-9.96651869e-10,9.96651869e-10
1.51562500e-10,1.51562500e-10,-3.97260558e-09,-4.76712669e-09,4.76712669e-09
2.01562500e-10,2.01562500e-10,1.75225133e-09,2.10270160e-09,-2.10270160e-09
2.51562500e-10,2.51562500e-10,-8.28764171e-10,-9.94517005e-10,9.94517005e-10
3.51562500e-10,3.51562500e-10,4.79495736e-10,5.75394883e-10,-5.75394883e-10
5.51562500e-10,5.51562500e-10,-4.54739515e-10,-5.45687418e-10,5.45687418e-10
7.51562500e-10,7.51562500e-10,2.89666735e-10,3.47600082e-10,-3.47600082e-10
9.51562500e-10,9.51562500e-10,-2.94751298e-10,-3.53701557e-10,3.53701557e-10
1.15156250e-09,1.15156250e-09,1.55283386e-10,1.86340064e-10,-1.86340064e-10
1.35156250e-09,1.35156250e-09,-1.82494768e-10,-2.18993722e-10,2.18993722e-10
1.55156250e-09,1.55156250e-09,6.19802687e-11,7.43763225e-11,-7.43763225e-11
1.75156250e-09,1.75156250e-09,-1.05460259e-10,-1.26552311e-10,1.26552311e-10
1.95156250e-09,1.95156250e-09,-1.18504234e-12,-1.42205081e-12,1.42205081e-12
2.15156250e-09,2.15156250e-09,-5.41082476e-11,-6.49298971e-11,6.49298971e-11
2.35156250e-09,2.35156250e-09,-4.25313891e-11,-5.10376669e-11,5.10376669e-11
2.55156250e-09,2.55156250e-09,-2.12023683e-11,-2.54428419e-11,2.54428419e-11
2.75156250e-09,2.75156250e-09,-6.83447418e-11,-8.20136901e-11,8.20136901e-11
2.95156250e-09,2.95156250e-09,-1.29582345e-12,-1.55498814e-12,1.55498814e-12
3.15156250e-09,3.15156250e-09,-8.33314266e-11,-9.99977119e-11,9.99977119e-11
3.35156250e-09,3.35156250e-09,9.66781495e-12,1.16013779e-11,-1.16013779e-11
3.55156250e-09,3.55156250e-09,-9.09710787e-11,-1.09165294e-10,1.09165294e-10
3.75156250e-09,3.75156250e-09,1.46683317e-11,1.76019980e-11,-1.76019980e-11
3.95156250e-09,3.95156250e-09,-9.37936711e-11,-1.12552405e-10,1.12552405e-10
4.15156250e-09,4.15156250e-09,1.58581669e-11,1.90298002e-11,-1.90298002e-11
4.35156250e-09,4.35156250e-09,-1.22105685e-07,-1.46526822e-07,1.46526822e-07
4.55156250e-09,4.55156250e-09,-5.94985308e-07,-7.13982369e-07,7.13982369e-07
4.75156250e-09,4.75156250e-09,-1.45796462e-06,-1.74955755e-06,1.74955755e-06
4.95156250e-09,4.95156250e-09,-2.53265596e-06,-3.03918715e-06,3.03918715e-06
5.15156250e-09,5.15156250e-09,-3.07313848e-06,-3.68776618e-06,3.68776618e-06
5.18151140e-09,5.18151140e-09,-2.89080444e-06,-3.46896532e-06,3.46896532e-06
5.21146029e-09,5.21146029e-09,-2.63131836e-06,-3.15758203e-06,3.15758203e-06
5.27135808e-09,5.27135808e-09,-2.14885162e-06,-2.57862194e-06,2.57862194e-06
5.33125587e-09,5.33125587e-09,-1.71519900e-06,-2.05823880e-06,2.05823880e-06
5.39115366e-09,5.39115366e-09,-1.33037590e-06,-1.59645108e-06,1.59645108e-06
5.45105146e-09,5.45105146e-09,-9.94367942e-07,-1.19324153e-06,1.19324153e-06
5.51094925e-09,5.51094925e-09,-7.07188494e-07,-8.48626193e-07,8.48626193e-07
5.57084704e-09,5.57084704e-09,-4.68825126e-07,-5.62590151e-07,5.62590151e-07
5.63074483e-09,5.63074483e-09,-2.79289395e-07,-3.35147274e-07,3.35147274e-07
5.69064262e-09,5.69064262e-09,-1.76529996e-06,-2.11835996e-06,2.11835996e-06
