TIME,V(_00_),V(_01_),V(_02_),V(_03_),V(_04_)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-12,3.32792401e-09,1.66396200e-09,3.32792401e-09,4.63049996e-01,9.87547950e-02
5.00000954e-12,3.32793036e-09,1.66396518e-09,3.32793036e-09,4.63050879e-01,9.87549834e-02
5.00000954e-12,3.32793036e-09,1.66396518e-09,3.32793036e-09,4.63050879e-01,9.87549835e-02
5.00000954e-12,3.32793036e-09,1.66396518e-09,3.32793036e-09,4.63050879e-01,9.87549835e-02
5.00000954e-12,3.32793036e-09,1.66396518e-09,3.32793036e-09,4.63050880e-01,9.87549835e-02
5.00000954e-12,3.32793036e-09,1.66396518e-09,3.32793036e-09,4.63050880e-01,9.87549835e-02
5.00000955e-12,3.32793036e-09,1.66396518e-09,3.32793036e-09,4.63050880e-01,9.87549836e-02
5.00000956e-12,3.32793037e-09,1.66396519e-09,3.32793037e-09,4.63050881e-01,9.87549838e-02
5.00000958e-12,3.32793038e-09,1.66396519e-09,3.32793038e-09,4.63050883e-01,9.87549842e-02
5.00000961e-12,3.32793041e-09,1.66396520e-09,3.32793041e-09,4.63050886e-01,9.87549849e-02
5.00000969e-12,3.32793046e-09,1.66396523e-09,3.32793046e-09,4.63050893e-01,9.87549864e-02
5.00000984e-12,3.32793056e-09,1.66396528e-09,3.32793056e-09,4.63050907e-01,9.87549893e-02
5.00001013e-12,3.32793075e-09,1.66396538e-09,3.32793075e-09,4.63050935e-01,9.87549952e-02
5.00001073e-12,3.32793115e-09,1.66396558e-09,3.32793115e-09,4.63050990e-01,9.87550070e-02
5.00001192e-12,3.32793194e-09,1.66396597e-09,3.32793194e-09,4.63051100e-01,9.87550305e-02
5.00001431e-12,3.32793353e-09,1.66396677e-09,3.32793353e-09,4.63051321e-01,9.87550776e-02
5.00001908e-12,3.32793671e-09,1.66396835e-09,3.32793671e-09,4.63051763e-01,9.87551718e-02
5.00002861e-12,3.32794305e-09,1.66397153e-09,3.32794305e-09,4.63052646e-01,9.87553602e-02
5.00004769e-12,3.32795575e-09,1.66397787e-09,3.32795575e-09,4.63054412e-01,9.87557370e-02
5.00008583e-12,3.32798114e-09,1.66399057e-09,3.32798114e-09,4.63057945e-01,9.87564905e-02
5.00016213e-12,3.32803192e-09,1.66401596e-09,3.32803192e-09,4.63065011e-01,9.87579977e-02
5.00031471e-12,3.32813348e-09,1.66406674e-09,3.32813348e-09,4.63079142e-01,9.87610125e-02
5.00061989e-12,3.32833660e-09,1.66416830e-09,3.32833660e-09,4.63107404e-01,9.87670439e-02
5.00123024e-12,3.32874284e-09,1.66437142e-09,3.32874284e-09,4.63163929e-01,9.87791137e-02
5.00245094e-12,3.32955532e-09,1.66477766e-09,3.32955532e-09,4.63276978e-01,9.88032814e-02
5.00489235e-12,3.33118028e-09,1.66559014e-09,3.33118028e-09,4.63503077e-01,9.88517296e-02
5.00977516e-12,3.33443021e-09,1.66721510e-09,3.33443021e-09,4.63955274e-01,9.89490770e-02
5.01954079e-12,3.34093006e-09,1.67046503e-09,3.34093006e-09,4.64859668e-01,9.91455792e-02
5.02930641e-12,3.34742991e-09,1.67371496e-09,3.34742991e-09,4.65764063e-01,9.93444964e-02
5.03907204e-12,3.35392976e-09,1.67696488e-09,3.35392976e-09,4.66668457e-01,9.95458347e-02
5.04883766e-12,3.36042962e-09,1.68021481e-09,3.36042962e-09,4.67572852e-01,9.97496006e-02
5.05860329e-12,3.36692947e-09,1.68346473e-09,3.36692947e-09,4.68477246e-01,9.99558000e-02
5.06836891e-12,3.37342932e-09,1.68671466e-09,3.37342932e-09,4.69381641e-01,1.00164439e-01
5.07813454e-12,3.37992917e-09,1.68996459e-09,3.37992917e-09,4.70286036e-01,1.00375523e-01
