TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
0.00000000e+00,0.00000000e+00,-2.32581007e-12,-2.79097208e-12,2.79097208e-12
5.00000000e-11,5.00000000e-11,-2.32581008e-12,-2.79097210e-12,2.79097210e-12
1.00000000e-10,1.00000000e-10,-2.32581008e-12,-2.79097210e-12,2.79097210e-12
1.50000000e-10,1.50000000e-10,-2.32581011e-12,-2.79097213e-12,2.79097213e-12
2.00000000e-10,2.00000000e-10,-2.32580999e-12,-2.79097199e-12,2.79097199e-12
2.50000000e-10,2.50000000e-10,-2.32581021e-12,-2.79097225e-12,2.79097225e-12
3.00000000e-10,3.00000000e-10,-2.32580990e-12,-2.79097189e-12,2.79097189e-12
3.50000000e-10,3.50000000e-10,-2.32581030e-12,-2.79097235e-12,2.79097235e-12
4.00000000e-10,4.00000000e-10,-2.32580982e-12,-2.79097179e-12,2.79097179e-12
4.50000000e-10,4.50000000e-10,-2.32581038e-12,-2.79097245e-12,2.79097245e-12
5.00000000e-10,5.00000000e-10,-2.32580974e-12,-2.79097169e-12,2.79097169e-12
5.50000000e-10,5.50000000e-10,-2.32581046e-12,-2.79097256e-12,2.79097256e-12
6.00000000e-10,6.00000000e-10,-2.32580965e-12,-2.79097158e-12,2.79097158e-12
6.50000000e-10,6.50000000e-10,-2.32581055e-12,-2.79097266e-12,2.79097266e-12
7.00000000e-10,7.00000000e-10,-2.32580957e-12,-2.79097148e-12,2.79097148e-12
7.50000000e-10,7.50000000e-10,-2.32581063e-12,-2.79097276e-12,2.79097276e-12
8.00000000e-10,8.00000000e-10,-2.32580949e-12,-2.79097138e-12,2.79097138e-12
8.50000000e-10,8.50000000e-10,-2.32581071e-12,-2.79097286e-12,2.79097286e-12
9.00000000e-10,9.00000000e-10,-2.32580940e-12,-2.79097128e-12,2.79097128e-12
9.50000000e-10,9.50000000e-10,-2.32581080e-12,-2.79097296e-12,2.79097296e-12
1.00000000e-09,1.00000000e-09,-2.32580932e-12,-2.79097118e-12,2.79097118e-12
1.05000000e-09,1.05000000e-09,-2.32581088e-12,-2.79097306e-12,2.79097306e-12
1.10000000e-09,1.10000000e-09,-2.32580924e-12,-2.79097108e-12,2.79097108e-12
1.15000000e-09,1.15000000e-09,-2.32581096e-12,-2.79097316e-12,2.79097316e-12
1.20000000e-09,1.20000000e-09,-2.32580915e-12,-2.79097098e-12,2.79097098e-12
1.25000000e-09,1.25000000e-09,-2.32581105e-12,-2.79097326e-12,2.79097326e-12
1.30000000e-09,1.30000000e-09,-2.32580907e-12,-2.79097088e-12,2.79097088e-12
1.35000000e-09,1.35000000e-09,-2.32581113e-12,-2.79097336e-12,2.79097336e-12
1.40000000e-09,1.40000000e-09,-2.32580898e-12,-2.79097078e-12,2.79097078e-12
1.45000000e-09,1.45000000e-09,-2.32581122e-12,-2.79097346e-12,2.79097346e-12
1.50000000e-09,1.50000000e-09,-2.32580890e-12,-2.79097068e-12,2.79097068e-12
1.55000000e-09,1.55000000e-09,-2.32581130e-12,-2.79097356e-12,2.79097356e-12
1.60000000e-09,1.60000000e-09,-2.32580882e-12,-2.79097058e-12,2.79097058e-12
1.65000000e-09,1.65000000e-09,-2.32581138e-12,-2.79097366e-12,2.79097366e-12
1.70000000e-09,1.70000000e-09,-2.32580873e-12,-2.79097048e-12,2.79097048e-12
1.75000000e-09,1.75000000e-09,-2.32581147e-12,-2.79097376e-12,2.79097376e-12
1.80000000e-09,1.80000000e-09,-2.32580865e-12,-2.79097038e-12,2.79097038e-12
1.85000000e-09,1.85000000e-09,-2.32581155e-12,-2.79097386e-12,2.79097386e-12
1.90000000e-09,1.90000000e-09,-2.32580857e-12,-2.79097028e-12,2.79097028e-12
1.95000000e-09,1.95000000e-09,-2.32581163e-12,-2.79097396e-12,2.79097396e-12
2.00000000e-09,2.00000000e-09,-2.32580848e-12,-2.79097018e-12,2.79097018e-12
2.05000000e-09,2.05000000e-09,-2.32581172e-12,-2.79097406e-12,2.79097406e-12
2.10000000e-09,2.10000000e-09,-2.32580840e-12,-2.79097008e-12,2.79097008e-12
2.15000000e-09,2.15000000e-09,-2.32581180e-12,-2.79097416e-12,2.79097416e-12
2.20000000e-09,2.20000000e-09,-2.32580832e-12,-2.79096998e-12,2.79096998e-12
2.25000000e-09,2.25000000e-09,-2.32581188e-12,-2.79097426e-12,2.79097426e-12
2.30000000e-09,2.30000000e-09,-2.32580823e-12,-2.79096988e-12,2.79096988e-12
2.35000000e-09,2.35000000e-09,-2.32581197e-12,-2.79097436e-12,2.79097436e-12
2.40000000e-09,2.40000000e-09,-2.32580815e-12,-2.79096978e-12,2.79096978e-12
2.45000000e-09,2.45000000e-09,-2.32581205e-12,-2.79097446e-12,2.79097446e-12
2.50000000e-09,2.50000000e-09,-2.32580806e-12,-2.79096968e-12,2.79096968e-12
2.55000000e-09,2.55000000e-09,-2.32581214e-12,-2.79097456e-12,2.79097456e-12
2.60000000e-09,2.60000000e-09,-2.32580798e-12,-2.79096958e-12,2.79096958e-12
2.65000000e-09,2.65000000e-09,-2.32581222e-12,-2.79097466e-12,2.79097466e-12
2.70000000e-09,2.70000000e-09,-2.32580790e-12,-2.79096948e-12,2.79096948e-12
2.75000000e-09,2.75000000e-09,-2.32581230e-12,-2.79097476e-12,2.79097476e-12
2.80000000e-09,2.80000000e-09,-2.32580781e-12,-2.79096938e-12,2.79096938e-12
2.85000000e-09,2.85000000e-09,-2.32581239e-12,-2.79097486e-12,2.79097486e-12
2.90000000e-09,2.90000000e-09,-2.32580773e-12,-2.79096928e-12,2.79096928e-12
2.95000000e-09,2.95000000e-09,-2.32581247e-12,-2.79097496e-12,2.79097496e-12
3.00000000e-09,3.00000000e-09,-2.32580765e-12,-2.79096918e-12,2.79096918e-12
3.05000000e-09,3.05000000e-09,-2.32581255e-12,-2.79097507e-12,2.79097507e-12
3.10000000e-09,3.10000000e-09,-2.32580756e-12,-2.79096908e-12,2.79096908e-12
3.15000000e-09,3.15000000e-09,-2.32581264e-12,-2.79097517e-12,2.79097517e-12
3.20000000e-09,3.20000000e-09,-2.32580748e-12,-2.79096897e-12,2.79096897e-12
3.25000000e-09,3.25000000e-09,-2.32581272e-12,-2.79097527e-12,2.79097527e-12
3.30000000e-09,3.30000000e-09,-2.32580740e-12,-2.79096887e-12,2.79096887e-12
3.35000000e-09,3.35000000e-09,-2.32581281e-12,-2.79097537e-12,2.79097537e-12
3.40000000e-09,3.40000000e-09,-2.32580731e-12,-2.79096877e-12,2.79096877e-12
3.45000000e-09,3.45000000e-09,-2.32581289e-12,-2.79097547e-12,2.79097547e-12
3.50000000e-09,3.50000000e-09,-2.32580723e-12,-2.79096867e-12,2.79096867e-12
3.55000000e-09,3.55000000e-09,-2.32581297e-12,-2.79097557e-12,2.79097557e-12
3.60000000e-09,3.60000000e-09,-2.32580714e-12,-2.79096857e-12,2.79096857e-12
3.65000000e-09,3.65000000e-09,-2.32581306e-12,-2.79097567e-12,2.79097567e-12
3.70000000e-09,3.70000000e-09,-2.32580706e-12,-2.79096847e-12,2.79096847e-12
3.75000000e-09,3.75000000e-09,-2.32581314e-12,-2.79097577e-12,2.79097577e-12
3.80000000e-09,3.80000000e-09,-2.32580698e-12,-2.79096837e-12,2.79096837e-12
3.85000000e-09,3.85000000e-09,-2.32581322e-12,-2.79097587e-12,2.79097587e-12
3.90000000e-09,3.90000000e-09,-2.32580689e-12,-2.79096827e-12,2.79096827e-12
3.95000000e-09,3.95000000e-09,-2.32581331e-12,-2.79097597e-12,2.79097597e-12
4.00000000e-09,4.00000000e-09,-2.32580681e-12,-2.79096817e-12,2.79096817e-12
