state	MRED	PDP
7,7,3,3,3,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,6,5,7,7,7,7,6,7,7,7,7,3,7,7,7,6,7,7,5,7,5,4,5,4,7,7,4,7,7	0.000892	1223.910744
7,7,3,3,3,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,6,5,7,7,7,7,6,7,7,7,7,3,7,7,7,6,7,7,7,7,5,4,5,4,7,7,4,7,7	0.000870	1224.049141
7,7,7,3,5,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,7,5,4,5,4,7,1,4,7,7	0.000974	1223.674409
7,7,7,3,3,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,7,5,4,5,4,7,1,4,7,7	0.000984	1223.053578
6,7,7,5,1,1,2,7,4,6,6,0,6,4,2,1,2,7,7,7,6,7,7,7,5,1,0,3,7,5,7,5,6,7,6,0,3,5,2,4,4,7,5,4,7,5,6,6,0	0.000187	1327.529211
7,7,7,3,3,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,6,5,7,7,7,7,6,7,7,7,7,3,7,7,7,7,7,7,7,7,5,4,5,4,7,1,4,7,7	0.001066	1221.716327
7,7,3,3,3,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,6,5,7,7,7,7,6,7,7,7,7,3,7,7,7,6,7,7,7,7,5,4,5,4,7,7,4,7,7	0.000870	1224.049141
7,7,3,7,7,4,2,7,7,6,6,2,5,6,2,6,7,7,7,7,6,7,7,7,5,4,1,7,7,5,7,3,3,6,6,6,7,7,7,7,5,4,5,4,7,7,7,5,0	0.000367	1262.431402
7,7,3,3,3,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,6,5,7,7,7,7,6,7,7,7,7,3,7,7,7,6,7,7,7,7,5,4,5,4,7,7,4,7,7	0.000870	1224.049141
7,7,3,7,7,4,2,7,7,6,6,2,5,6,2,6,7,7,7,7,6,7,7,7,5,4,0,7,7,5,7,3,3,6,6,6,7,7,7,7,5,4,5,4,7,7,7,5,0	0.000362	1262.719392
7,7,7,3,3,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,7,5,4,5,4,7,1,4,7,7	0.000984	1223.053578
7,7,7,5,4,2,2,7,5,6,6,2,6,4,1,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,4,5,7,6,4,7,7,5,7,5,4,5,4,7,7,5,6,0	0.000254	1285.854222
7,7,7,5,4,2,2,7,5,6,6,2,6,4,1,6,7,7,7,7,6,7,7,7,5,1,0,7,7,5,7,4,5,7,6,4,7,7,5,7,5,4,5,4,7,7,5,6,0	0.000254	1285.854222
7,7,3,3,3,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,6,5,7,7,7,7,6,7,7,7,7,3,7,7,5,6,7,7,7,7,5,4,5,4,7,7,4,7,7	0.000801	1225.557292
7,7,3,3,3,7,4,7,7,3,6,4,5,6,6,6,7,7,7,7,6,5,7,7,7,7,6,7,7,7,7,3,7,7,7,6,7,7,7,7,5,4,5,4,7,7,4,7,7	0.000870	1224.049141
