state	MRED	PDP
6,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,6,7,6,6,7,5,6,7,6,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,6,7,6,7,7,7	0.001671	1240.284210
7,7,7,7,7,6,7,7,7,7,6,7,7,6,6,6,7,7,6,7,6,7,7,7,7,7,6,7,7,6,7,7,6,7,6,7,7,7,6,7,7,5,5,7,7,6,7,7,7	0.001419	1240.919946
6,7,7,7,7,6,7,7,7,7,6,6,7,7,6,6,7,6,7,7,6,6,7,7,7,7,7,7,7,5,6,7,6,6,7,6,7,6,6,4,7,6,7,7,7,6,7,7,7	0.001265	1243.646769
6,7,7,7,6,6,6,7,7,7,4,6,7,5,6,6,7,7,7,7,6,6,7,6,7,7,6,7,7,6,7,7,7,6,7,7,7,5,7,7,4,6,7,4,6,7,7,7,7	0.001113	1243.663365
6,6,7,7,6,7,3,7,7,7,6,7,4,6,7,7,5,7,7,7,7,5,6,7,7,7,6,7,7,6,6,7,7,7,6,7,5,7,7,7,6,7,6,7,7,7,6,7,6	0.001091	1244.996103
7,5,7,6,7,7,7,7,7,6,7,7,7,7,6,5,6,7,7,6,7,7,7,7,7,7,6,7,7,6,6,7,7,6,7,6,7,7,7,7,5,7,7,7,7,6,7,7,5	0.001063	1246.938644
7,7,7,6,5,6,7,7,7,7,5,6,7,6,6,7,6,7,7,7,6,5,7,7,5,7,7,7,7,6,7,6,7,7,6,7,5,7,5,6,7,6,7,7,7,7,7,7,6	0.001018	1249.137786
7,7,7,7,6,6,5,7,7,6,6,7,6,4,7,7,5,7,6,7,7,5,7,7,7,7,7,7,7,7,7,6,7,7,5,6,6,7,7,5,7,7,6,7,7,6,7,7,6	0.000921	1253.069087
7,6,7,7,7,6,7,7,7,7,6,6,6,6,7,6,6,7,6,7,7,6,7,7,7,7,6,7,7,7,6,7,6,7,6,7,6,6,7,6,6,7,6,7,7,7,6,7,6	0.000897	1253.924241
7,6,7,5,6,5,6,7,6,6,6,5,6,6,7,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,5,7,7,6,7,7,7,6,7,6,7,6,7,7,7	0.000896	1254.233112
7,6,7,7,5,6,7,6,6,7,6,6,7,5,6,7,6,7,7,7,7,5,6,7,7,7,6,7,7,7,5,7,7,7,5,7,7,7,7,5,5,7,5,7,7,6,7,7,6	0.000896	1256.076570
7,7,6,7,5,5,4,6,7,6,7,7,4,4,7,6,7,7,7,6,6,6,7,7,7,5,7,7,7,6,7,7,7,7,6,7,5,7,5,5,3,7,7,5,6,7,7,7,5	0.000890	1256.874802
5,7,6,7,7,6,6,6,7,7,6,7,7,7,6,7,7,7,7,7,5,5,7,7,6,7,7,5,7,6,7,7,7,6,6,6,7,7,7,6,6,7,6,6,7,7,7,5,6	0.000828	1259.121850
7,6,7,5,7,6,0,7,7,7,7,1,5,5,2,2,6,7,6,7,6,7,7,7,7,7,0,7,6,7,7,7,6,7,5,6,7,6,7,6,7,7,7,5,7,6,7,7,7	0.000805	1262.477586
5,7,6,6,6,6,6,7,7,6,6,6,6,7,6,6,7,7,7,6,7,6,6,7,7,6,6,6,6,7,7,7,7,7,7,6,7,7,7,6,6,7,6,7,7,7,7,7,7	0.000779	1263.452807
