state	MRED	PDP
6,4,2,4,3,7,6,0,0	0.010095	217506124.375385
2,0,0,2,5,4,6,6,2	0.007520	226544346.612364
5,0,6,6,7,6,6,2,1	0.011862	213339170.492620
2,2,0,1,5,6,0,4,0	0.005212	231823621.518827
5,6,6,6,7,7,6,6,5	0.027790	197076873.561510
6,6,7,7,6,7,6,6,5	0.047453	194360011.281704
4,0,6,6,7,6,5,2,1	0.011497	216083983.732386
6,6,6,0,2,5,6,4,6	0.009636	218820313.765322
7,5,7,7,5,5,6,1,5	0.043513	195842472.376157
7,5,7,7,6,7,7,4,5	0.045419	194948541.332315
2,1,6,0,1,6,6,0,6	0.007915	222994645.897167
5,5,6,0,3,6,6,6,6	0.017230	208357827.099683
1,6,6,6,7,6,6,5,4	0.018419	206872044.454104
6,6,1,6,6,6,6,5,4	0.015112	210063079.471499
5,6,6,6,7,7,6,4,5	0.026578	198951233.132703
5,5,4,6,7,7,6,6,4	0.020436	205437614.498032
1,6,4,4,7,6,6,4,5	0.017772	208121304.192436
4,6,6,4,7,7,6,4,5	0.023076	203075162.276448
6,6,4,1,4,5,1,4,6	0.009044	219096536.872527
6,6,7,7,6,6,6,1,5	0.041675	196648679.440905
