state	MRED	PDP
4,6,6,6,4,6,4,2,2	0.008282	218.360002
6,4,1,1,5,7,7,4,5	0.027488	208.759717
7,1,6,6,0,7,7,1,5	0.033598	205.135579
6,0,1,1,5,1,2,0,1	0.005256	231.409967
1,6,6,5,3,6,4,5,5	0.029665	206.901068
5,4,6,2,3,7,0,4,6	0.017765	216.067722
6,0,4,6,1,4,6,2,1	0.007113	223.443704
7,7,7,7,3,6,5,7,5	0.053850	193.863367
7,7,7,7,3,7,5,7,5	0.055963	193.355241
7,5,7,7,3,5,7,6,5	0.045065	194.667791
7,5,7,7,3,5,6,6,5	0.046341	194.154340
7,5,7,7,3,7,5,4,5	0.045193	194.423485
7,5,7,7,3,6,5,2,5	0.043869	195.986062
0,5,7,7,3,7,6,1,5	0.040812	197.168964
0,1,1,0,6,0,2,1,4	0.004752	232.067981
7,5,7,7,3,5,4,4,5	0.042821	196.603186
