widths	Area	PDP	Delay	Power
1.945000,0.145000,1.405000,0.730000	5.167800	0.122666	0.426960	0.287300
0.550000,0.145000,0.955000,0.460000	2.458800	0.143867	0.575930	0.249800
0.235000,0.145000,0.595000,0.370000	1.545300	0.168983	0.733750	0.230300
0.640000,0.145000,1.270000,0.730000	3.199000	0.131865	0.471450	0.279700
0.235000,0.145000,0.460000,0.235000	1.261800	0.178067	0.821340	0.216800
0.640000,0.235000,1.045000,0.595000	2.947000	0.136013	0.509030	0.267200
2.620000,0.190000,1.945000,1.180000	7.215300	0.117424	0.344250	0.341100
2.215000,0.190000,1.855000,1.135000	6.506500	0.118783	0.355320	0.334300
0.370000,0.235000,0.685000,0.370000	1.954700	0.154126	0.649500	0.237300
0.280000,0.145000,0.550000,0.325000	1.513700	0.172275	0.760930	0.226400
0.145000,0.145000,0.190000,0.190000	0.805000	0.286789	1.407210	0.203800
2.215000,0.145000,1.405000,0.730000	5.545700	0.121455	0.422160	0.287700
0.325000,0.190000,0.685000,0.370000	1.828700	0.155355	0.659960	0.235400
2.080000,0.145000,1.810000,1.045000	6.112800	0.119728	0.370790	0.322900
0.460000,0.280000,0.685000,0.370000	2.143800	0.151859	0.633010	0.239900
0.505000,0.190000,0.955000,0.550000	2.553300	0.138909	0.537780	0.258300
0.595000,0.190000,1.225000,0.730000	3.151700	0.132773	0.473850	0.280200
1.090000,0.235000,1.225000,0.685000	3.860500	0.129140	0.457780	0.282100
0.280000,0.190000,0.595000,0.325000	1.624000	0.161461	0.705380	0.228900
1.810000,0.145000,1.360000,0.730000	4.931500	0.123658	0.432370	0.286000
1.405000,0.145000,1.450000,0.775000	4.506300	0.124906	0.429230	0.291000
1.585000,0.145000,1.405000,0.775000	4.711000	0.124090	0.427750	0.290100
0.190000,0.145000,0.460000,0.280000	1.246000	0.184898	0.843130	0.219300
0.910000,0.145000,1.270000,0.730000	3.577000	0.129963	0.462500	0.281000
1.720000,0.145000,1.450000,0.775000	4.947300	0.122890	0.421290	0.291700
1.135000,0.235000,1.360000,0.820000	4.207000	0.125582	0.423690	0.296400
2.215000,0.145000,1.495000,0.775000	5.687500	0.121233	0.412920	0.293600
0.550000,0.190000,1.180000,0.685000	2.994300	0.134966	0.490430	0.275200
0.235000,0.145000,0.640000,0.280000	1.498000	0.172706	0.768950	0.224600
0.145000,0.145000,0.235000,0.190000	0.852300	0.255442	1.242420	0.205600
0.505000,0.145000,0.910000,0.460000	2.348500	0.143978	0.579620	0.248400
0.145000,0.235000,0.415000,0.190000	1.167300	0.200362	0.944660	0.212100
0.595000,0.145000,1.045000,0.595000	2.758000	0.136541	0.518970	0.263100
1.180000,0.145000,1.315000,0.730000	4.002200	0.126607	0.447060	0.283200
1.990000,0.145000,1.765000,1.000000	5.892300	0.120038	0.377360	0.318100
0.145000,0.145000,0.145000,0.190000	0.757800	0.329941	1.635800	0.201700
0.145000,0.145000,0.325000,0.190000	0.946800	0.211101	1.012960	0.208400
0.190000,0.145000,0.415000,0.145000	1.057000	0.208655	1.004600	0.207700
1.000000,0.145000,1.405000,0.775000	3.892000	0.127602	0.442140	0.288600
2.305000,0.190000,1.720000,1.000000	6.349000	0.119041	0.371190	0.320700
0.955000,0.190000,1.315000,0.730000	3.750200	0.129276	0.453600	0.285000
0.370000,0.145000,0.910000,0.460000	2.159500	0.148667	0.601160	0.247300
