widths	Area	PDP	Delay	Power
0.865000,0.415000,1.360000,0.865000	4.128300	0.129540	0.424720	0.305000
1.540000,0.775000,1.990000,1.495000	6.900300	0.125807	0.323660	0.388700
0.685000,0.145000,1.900000,1.225000	4.443200	0.128022	0.382270	0.334900
0.730000,0.145000,1.090000,0.640000	3.041500	0.137254	0.511380	0.268400
0.730000,0.145000,1.135000,0.640000	3.088700	0.132738	0.492170	0.269700
2.260000,0.415000,2.080000,1.495000	7.498800	0.123128	0.323000	0.381200
0.370000,0.190000,0.730000,0.415000	1.986300	0.149408	0.621240	0.240500
0.280000,0.190000,0.730000,0.415000	1.860200	0.154648	0.646250	0.239300
0.280000,0.145000,0.730000,0.415000	1.797200	0.156065	0.655460	0.238100
0.280000,0.145000,0.235000,0.415000	1.277500	0.291127	1.340980	0.217100
0.280000,0.145000,0.640000,0.415000	1.702800	0.167489	0.711510	0.235400
0.280000,0.145000,0.370000,0.415000	1.419300	0.232104	1.032490	0.224800
0.280000,0.145000,0.595000,0.415000	1.655500	0.175792	0.751570	0.233900
0.280000,0.145000,0.415000,0.415000	1.466500	0.218210	0.961700	0.226900
0.280000,0.145000,0.460000,0.415000	1.513800	0.205882	0.899440	0.228900
