state	MRED	PDP
3,3,5,4,4,0,1,5,4,4,0,0,4,6,2,6,3,5,1,7,0,7,7,1,6,6,1,1,7,3,4,6,7,4,2,0,7,7,1,7,7,4,6,2,5,6,5,0,0	0.000252	1549.049457
3,3,5,4,4,0,1,5,4,4,0,0,4,6,2,6,3,5,1,7,0,7,7,1,4,6,1,1,7,3,4,6,7,4,2,0,7,7,1,7,7,4,6,2,5,6,5,0,0	0.000250	1551.501688
7,7,3,7,7,6,6,7,4,7,2,4,5,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,4,7,7,5,7,6,4,7,7,4,7,5,3,0	0.000575	1253.415265
7,7,3,7,7,6,6,7,4,7,2,4,5,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,4,7,7,5,7,6,4,7,7,4,7,5,3,0	0.000575	1253.415265
7,7,3,7,7,6,6,7,4,7,2,4,7,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,6,7,7,5,7,6,4,7,7,4,7,5,3,0	0.000598	1249.037695
7,7,3,7,7,6,6,7,4,7,2,4,7,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,6,7,7,5,7,6,4,7,7,4,7,5,3,0	0.000598	1249.037695
7,7,3,7,7,6,6,7,4,7,2,4,5,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,4,7,7,5,7,6,4,7,7,4,7,5,3,0	0.000575	1253.415265
7,7,3,7,7,6,6,7,4,7,2,4,5,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,4,7,7,5,7,6,4,7,7,4,7,5,3,0	0.000575	1253.415265
7,7,3,7,7,6,6,7,4,7,2,4,5,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,6,7,7,5,3,6,4,7,7,4,7,5,3,0	0.000576	1252.135094
3,3,5,4,4,0,1,5,4,4,0,0,4,6,2,6,3,5,1,7,0,7,7,1,6,6,1,1,7,3,4,6,7,4,2,0,7,7,1,7,7,4,6,2,5,6,5,0,0	0.000252	1549.049457
7,7,3,7,3,6,6,7,4,7,2,4,5,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,4,7,7,5,7,6,4,7,7,4,7,5,3,0	0.000555	1255.997340
7,7,3,7,7,6,6,7,4,7,2,4,5,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,6,7,7,5,7,6,4,7,7,4,7,5,3,0	0.000581	1250.880980
3,3,5,4,5,0,2,7,7,1,6,0,7,0,2,6,6,7,1,3,0,5,7,7,6,0,0,4,3,4,0,7,5,7,5,2,7,4,5,7,7,7,7,2,0,7,5,4,0	0.000275	1355.743962
3,3,5,4,5,0,2,7,7,1,6,0,7,0,2,6,6,7,1,3,0,5,7,7,6,0,0,4,3,4,0,7,5,7,5,2,7,4,5,7,7,7,7,2,0,7,5,4,0	0.000275	1355.743962
3,3,5,4,5,0,2,7,7,1,6,0,7,0,2,6,3,5,6,3,0,5,7,7,6,0,0,4,3,4,2,7,5,7,5,0,7,4,5,7,7,7,7,2,0,7,5,4,4	0.000286	1352.674070
3,3,5,4,5,0,2,7,7,6,6,0,7,0,2,6,3,5,1,5,3,5,7,7,6,0,0,3,5,4,4,7,6,7,5,0,7,4,5,7,7,7,7,2,0,7,6,4,4	0.000292	1347.525766
6,3,5,4,5,0,2,7,7,5,6,0,7,0,2,6,3,5,1,5,3,5,7,7,6,0,0,3,3,7,4,7,6,7,5,0,7,4,5,7,7,7,7,2,0,7,5,4,4	0.000304	1338.941561
3,3,5,4,5,2,2,7,7,6,6,0,7,0,2,6,3,5,3,7,3,7,7,7,6,0,0,3,3,7,4,7,6,7,5,0,7,4,5,7,7,7,7,7,4,7,5,4,4	0.000316	1313.987530
3,3,5,4,5,2,2,7,7,6,6,0,7,0,2,6,3,5,3,7,7,5,7,7,6,0,4,3,3,7,4,7,6,7,5,0,7,4,5,7,7,7,7,5,4,7,5,4,4	0.000323	1309.593244
3,3,5,4,5,2,2,7,7,6,6,0,4,0,2,6,3,5,3,7,7,5,7,7,6,0,4,3,3,7,3,7,6,7,5,0,7,4,5,7,7,7,7,5,4,7,5,4,4	0.000321	1309.585979
3,3,5,4,5,2,2,7,7,6,6,0,7,0,2,6,6,5,3,7,7,5,7,7,6,0,4,7,3,7,3,7,6,7,5,4,7,3,5,7,7,7,7,5,4,7,5,4,4	0.000330	1300.543589
3,3,5,4,5,2,2,7,7,6,6,0,7,0,2,6,6,5,3,7,7,5,7,7,6,0,4,7,3,7,3,7,6,7,5,4,7,3,5,7,7,7,7,5,4,7,5,4,4	0.000330	1300.543589
7,3,5,7,7,5,4,7,5,3,6,2,7,6,2,6,3,7,3,7,3,5,7,7,4,6,0,7,7,3,5,7,6,6,5,4,7,7,5,7,1,7,7,7,4,7,5,3,4	0.000446	1274.062602
7,3,5,7,7,5,4,7,5,3,6,2,7,6,2,6,3,7,3,7,3,5,7,7,4,6,0,7,7,3,5,7,6,6,5,4,7,7,5,7,1,7,7,7,4,7,5,3,4	0.000446	1274.062602
7,3,5,7,7,5,4,7,5,3,6,2,7,6,2,6,3,7,3,7,3,5,7,7,4,6,0,7,7,3,5,7,6,6,5,4,7,7,5,7,1,7,7,7,4,7,5,3,4	0.000446	1274.062602
7,7,3,7,3,6,6,7,4,7,2,4,5,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,4,7,7,5,7,6,4,7,7,4,7,5,3,0	0.000555	1255.997340
7,7,3,7,3,6,6,7,4,7,2,4,5,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,4,7,7,5,7,6,4,7,7,4,7,5,3,0	0.000555	1255.997340
7,7,3,7,7,6,6,7,4,7,2,4,5,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,4,7,7,5,7,6,4,7,7,4,7,5,3,0	0.000575	1253.415265
7,7,3,7,7,6,6,7,4,7,2,4,5,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,6,7,7,5,7,6,4,7,7,4,7,5,3,0	0.000581	1250.880980
7,7,3,7,7,6,6,7,4,7,2,4,7,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,6,7,7,5,7,6,4,7,7,4,7,5,3,0	0.000598	1249.037695
7,7,3,7,7,6,6,7,4,7,2,4,7,6,0,6,7,7,7,7,3,5,7,7,1,7,6,7,7,3,7,7,7,6,5,6,7,7,5,7,6,4,7,7,4,7,5,3,0	0.000598	1249.037695
3,3,5,4,5,0,2,7,7,1,6,0,7,0,2,6,6,7,1,3,0,5,7,7,6,0,0,4,3,4,0,7,5,7,5,2,7,4,5,7,7,7,7,2,0,7,5,4,0	0.000275	1355.743962
3,3,5,4,5,0,2,7,7,1,6,0,7,0,2,6,3,5,6,3,0,5,7,7,6,0,0,4,3,4,2,7,5,7,5,0,7,4,5,7,7,7,7,2,0,7,5,4,4	0.000286	1352.674070
3,3,5,4,5,2,2,7,7,6,6,0,7,0,2,6,3,5,3,7,3,7,7,7,6,0,0,3,3,7,4,7,6,7,5,0,7,4,5,7,7,7,7,4,4,7,5,4,4	0.000307	1322.585915
3,3,5,4,5,2,2,7,7,6,6,0,7,0,2,6,3,5,3,7,3,7,7,7,6,0,0,3,3,7,4,7,6,7,5,0,7,4,5,7,7,7,7,4,4,7,5,4,4	0.000307	1322.585915
3,3,5,4,5,2,2,7,7,6,6,0,4,0,2,6,3,5,3,7,7,5,7,7,6,0,4,3,3,7,3,7,6,7,5,0,7,4,5,7,7,7,7,5,4,7,5,4,4	0.000321	1309.585979
3,3,5,4,5,2,2,7,7,6,6,0,4,0,2,6,3,5,3,7,7,5,7,7,6,0,4,3,3,7,3,7,6,7,5,4,7,3,5,7,7,7,7,5,4,7,5,4,4	0.000320	1305.136035
3,3,5,4,5,2,2,7,7,6,6,0,7,0,2,6,6,5,3,7,7,5,7,7,6,0,4,3,3,7,3,7,6,7,5,4,7,3,5,7,7,7,7,5,4,7,5,4,4	0.000325	1303.791160
3,3,5,1,5,2,2,7,7,6,6,0,7,0,2,6,6,5,3,7,7,5,7,7,6,0,4,7,3,7,3,7,6,7,5,4,7,3,5,7,7,7,7,5,4,7,5,4,4	0.000330	1301.063434
3,3,5,4,5,2,2,7,7,6,6,0,7,0,2,6,6,5,3,7,7,5,7,7,6,0,4,7,3,7,3,7,6,7,5,4,7,3,5,7,7,7,7,5,4,7,5,4,4	0.000330	1300.543589
3,3,5,4,5,2,2,7,7,6,6,0,7,0,2,6,6,5,3,7,7,5,7,7,6,0,4,7,3,7,3,7,3,7,5,4,7,3,5,7,7,7,7,5,4,7,5,4,4	0.000344	1296.231597
3,3,5,4,7,1,2,7,7,6,6,0,5,6,2,6,5,5,3,7,7,5,7,7,6,0,4,7,3,7,3,7,3,7,5,4,7,3,5,7,7,7,7,5,4,7,5,4,4	0.000369	1288.560933
3,3,5,4,7,1,2,7,7,6,6,0,5,6,2,6,5,5,3,7,7,5,7,7,6,0,4,7,3,7,3,7,3,7,5,4,7,3,5,7,7,7,7,5,4,7,5,4,4	0.000369	1288.560933
3,3,7,4,7,1,2,7,7,6,6,0,5,6,2,6,5,5,5,7,7,5,7,7,6,0,0,7,3,7,3,7,3,7,5,4,7,3,5,7,7,7,7,5,4,7,5,4,4	0.000358	1289.339485
3,3,7,4,7,1,2,7,7,6,6,0,5,6,2,6,5,5,5,7,7,5,7,7,6,0,0,7,3,7,3,7,3,7,5,4,7,3,5,7,7,7,7,5,4,7,5,4,4	0.000358	1289.339485
3,3,7,4,7,4,2,7,7,6,6,0,5,6,2,6,5,5,5,7,7,5,7,7,6,4,1,7,3,7,3,7,3,7,5,4,7,3,5,7,7,7,7,5,4,7,5,4,4	0.000375	1286.740314
3,3,7,4,7,4,2,7,7,6,6,0,5,6,2,6,5,5,5,7,7,5,7,7,6,4,1,7,3,7,3,7,3,7,5,4,7,3,5,7,7,7,7,5,4,7,5,4,4	0.000375	1286.740314
3,3,7,4,7,4,2,7,7,6,6,0,5,6,2,6,5,5,5,7,7,5,7,7,4,4,1,7,3,7,3,7,3,7,5,4,7,3,7,7,7,7,7,5,4,7,5,3,4	0.000393	1282.886419
7,3,7,2,7,4,2,7,7,6,6,1,5,6,2,6,7,5,5,7,7,5,7,7,4,4,1,7,3,7,3,7,3,7,5,4,7,3,7,7,7,7,7,5,4,7,5,3,4	0.000396	1280.821180
7,3,7,2,7,4,2,7,7,6,6,1,5,6,2,6,7,5,5,7,7,5,7,7,4,4,1,7,3,7,3,7,3,7,5,4,7,3,7,7,7,7,7,5,4,7,5,3,4	0.000396	1280.821180
7,3,7,2,7,4,2,7,7,6,6,1,5,6,2,6,7,5,5,7,7,5,7,7,4,4,1,7,3,7,3,7,3,7,5,4,7,3,7,7,7,7,7,5,4,7,5,3,4	0.000396	1280.821180
7,3,7,2,7,4,2,7,7,6,6,1,5,6,2,6,7,5,5,7,7,5,7,7,4,4,1,7,3,7,3,7,3,7,5,4,7,3,7,7,7,7,7,5,4,7,5,3,4	0.000396	1280.821180
7,3,7,2,7,4,2,7,7,6,6,1,5,6,2,6,7,5,5,7,7,5,7,7,4,4,1,7,3,7,3,7,3,7,5,4,7,3,7,7,7,7,7,5,4,7,5,3,4	0.000396	1280.821180
7,3,7,2,7,4,2,7,7,6,6,1,5,6,2,6,7,5,5,7,7,5,7,7,4,4,1,7,3,7,3,7,3,7,5,4,7,3,7,7,7,7,7,5,4,7,5,3,4	0.000396	1280.821180
7,6,7,2,7,4,2,7,7,6,6,1,7,0,2,6,3,7,3,7,6,5,7,7,4,6,0,7,3,7,3,7,3,7,5,4,7,3,7,7,7,7,7,5,4,7,5,3,4	0.000423	1276.674815
7,6,7,2,7,4,2,7,7,6,6,1,7,0,2,6,3,7,3,7,6,5,7,7,4,6,0,7,3,7,3,7,3,7,5,4,7,3,7,7,7,7,7,5,4,7,5,3,4	0.000423	1276.674815
