state	MRED	PDP
7,7,7,7,7,7,6,6,5	0.058783	192.744604
7,7,7,7,7,6,6,4,5	0.053426	193.714268
6,5,7,7,7,7,5,7,5	0.051317	193.973806
5,5,7,7,7,5,7,5,5	0.045859	194.579907
7,5,7,7,6,6,7,6,5	0.045283	195.071869
5,6,7,7,6,7,6,4,5	0.043384	195.090709
6,5,7,7,6,6,6,6,5	0.042387	195.886921
7,6,6,6,5,7,6,5,5	0.038446	196.494368
7,4,5,6,7,6,7,6,5	0.036847	199.613440
7,6,6,6,7,5,7,6,6	0.026555	201.993299
7,5,6,6,7,6,6,6,4	0.024680	202.090680
7,4,6,6,7,7,4,6,4	0.023663	203.538231
6,6,6,6,7,5,6,5,6	0.021016	203.866803
6,6,6,6,7,6,6,6,4	0.012867	205.270402
6,6,6,2,3,3,4,0,4	0.011899	217.231322
4,4,6,4,4,6,4,6,6	0.010284	217.979388
1,6,2,0,7,5,6,4,0	0.007822	218.067739
6,4,1,0,3,4,4,6,1	0.006882	221.707574
6,4,4,1,4,0,4,4,0	0.005766	226.630395
2,0,0,0,4,6,6,2,1	0.005240	227.508922
0,0,0,1,1,1,6,2,1	0.005070	231.182571
2,2,1,0,4,6,4,0,1	0.004810	233.413074
0,2,0,0,4,4,4,0,0	0.004675	234.777165
0,1,1,2,4,0,0,2,0	0.004622	235.301822
0,1,0,0,1,1,0,0,0	0.004525	235.768035
0,0,0,0,0,1,2,1,0	0.004517	237.346708
1,1,0,0,2,0,2,0,0	0.004353	240.038894
