state	MRED	PDP
7,6,6,2,3,3,5,5,5	0.039639	201.085311
7,1,4,4,7,3,4,6,0	0.020708	211.844905
7,4,6,1,5,7,6,6,2	0.021335	208.136476
7,6,0,4,4,6,6,4,4	0.015878	213.259875
7,5,7,7,1,5,2,6,5	0.043109	198.725332
6,6,2,1,7,5,5,2,5	0.020781	211.140738
4,0,6,5,7,6,6,4,6	0.019090	212.746208
4,4,0,6,6,5,4,6,4	0.009184	218.704989
7,7,3,3,6,1,5,5,5	0.061089	197.567769
6,4,2,6,3,6,4,6,6	0.011698	213.807292
2,0,1,0,6,4,2,1,1	0.004552	242.702600
4,4,2,4,7,6,1,6,6	0.010759	218.318320
5,4,0,6,4,6,4,6,5	0.020668	212.039729
6,0,2,4,4,5,6,4,4	0.007262	220.964453
0,1,0,0,6,6,2,1,1	0.004766	229.712405
2,1,0,0,6,4,2,1,1	0.004561	242.552673
6,1,2,2,6,5,1,4,0	0.006183	225.979025
1,3,3,7,4,6,7,5,5	0.056771	198.369507
6,5,0,4,7,7,6,6,5	0.025125	202.378340
1,0,1,2,6,4,2,2,1	0.004604	233.763550
0,1,0,0,6,6,1,1,1	0.004838	228.138620
6,6,4,0,5,5,5,5,0	0.018556	212.979100
0,1,0,2,7,5,1,4,1	0.006700	225.847965
7,6,7,6,7,7,3,1,5	0.083493	196.215121
1,1,2,1,6,6,1,6,0	0.006048	225.992628
7,6,1,4,5,7,6,6,5	0.028634	201.701195
1,0,0,2,6,4,1,0,0	0.004610	232.666697
2,0,1,0,6,6,1,0,1	0.004628	230.142808
2,1,1,0,6,6,1,4,1	0.004780	228.332784
4,1,1,2,6,6,2,4,2	0.005386	227.513700
7,6,4,2,6,7,6,6,1	0.021429	206.896733
5,1,1,2,6,6,1,4,1	0.007158	225.118771
1,0,2,1,7,6,2,4,1	0.005721	227.021662
