TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
0.00000000e+00,0.00000000e+00,-8.31981007e-12,-9.98377208e-12,9.98377208e-12
5.00000000e-11,5.00000000e-11,-1.62640607e-11,-1.95168728e-11,1.95168728e-11
1.50000000e-10,1.50000000e-10,-1.80797664e-11,-2.16957197e-11,2.16957197e-11
3.50000000e-10,3.50000000e-10,-1.84617220e-11,-2.21540664e-11,2.21540664e-11
7.50000000e-10,7.50000000e-10,-1.81448473e-11,-2.17738168e-11,2.17738168e-11
1.55000000e-09,1.55000000e-09,-1.84274794e-11,-2.21129753e-11,2.21129753e-11
3.15000000e-09,3.15000000e-09,-1.81405277e-11,-2.17686333e-11,2.17686333e-11
3.95000000e-09,3.95000000e-09,-1.82538059e-11,-2.19045670e-11,2.19045670e-11
4.35000000e-09,4.35000000e-09,-3.47348450e-07,-4.16818140e-07,4.16818140e-07
4.75000000e-09,4.75000000e-09,-2.85682009e-06,-3.42818410e-06,3.42818410e-06
4.80611861e-09,4.80611861e-09,-3.42970115e-06,-4.11564138e-06,4.11564138e-06
4.91835583e-09,4.91835583e-09,-4.52844408e-06,-5.43413290e-06,5.43413290e-06
5.03059305e-09,5.03059305e-09,-5.56069878e-06,-6.67283853e-06,6.67283853e-06
5.14283027e-09,5.14283027e-09,-6.00414858e-06,-7.20497830e-06,7.20497830e-06
5.25506749e-09,5.25506749e-09,-4.55040096e-06,-5.46048115e-06,5.46048115e-06
5.35608099e-09,5.35608099e-09,-3.09951987e-06,-3.71942385e-06,3.71942385e-06
5.44699314e-09,5.44699314e-09,-2.03111680e-06,-2.43734016e-06,2.43734016e-06
5.53790529e-09,5.53790529e-09,-1.18770476e-06,-1.42524571e-06,1.42524571e-06
5.62881744e-09,5.62881744e-09,-5.69183400e-07,-6.83020080e-07,6.83020080e-07
5.66975025e-09,5.66975025e-09,-1.54841477e-06,-1.85809773e-06,1.85809773e-06
5.68582623e-09,5.68582623e-09,-3.99494478e-06,-4.79393374e-06,4.79393374e-06
