Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)     
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396201e-09    4.02331483e-01
2        5.00000954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396518e-09    4.02332250e-01
3        5.00000954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396518e-09    4.02332251e-01
4        5.00000954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396518e-09    4.02332251e-01
5        5.00000954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396518e-09    4.02332251e-01
6        5.00000954e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396519e-09    4.02332251e-01
7        5.00000955e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396519e-09    4.02332251e-01
8        5.00000956e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396519e-09    4.02332252e-01
9        5.00000958e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396520e-09    4.02332253e-01
10       5.00000961e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396521e-09    4.02332256e-01
11       5.00000969e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396523e-09    4.02332262e-01
12       5.00000984e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396528e-09    4.02332274e-01
13       5.00001013e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396538e-09    4.02332298e-01
14       5.00001073e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396558e-09    4.02332346e-01
15       5.00001192e-12    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.66396598e-09    4.02332442e-01
