Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)            V(_2_)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198108e-09    1.43198108e-09    1.20000000e+00    1.43198108e-09
1        5.00000000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198108e-09    1.43198108e-09    1.20000000e+00    1.43198108e-09
2        1.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198108e-09    1.43198108e-09    1.20000000e+00    1.43198108e-09
3        3.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198118e-09    1.43198118e-09    1.20000000e+00    1.43198118e-09
4        5.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
5        7.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
6        9.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
7        1.15000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
8        1.35000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
9        1.55000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
10       1.75000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
11       1.95000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
12       2.15000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
13       2.35000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
14       2.55000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
15       2.75000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
16       2.95000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
17       3.15000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
18       3.35000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
19       3.55000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
20       3.75000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
21       3.95000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
22       4.15000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
23       4.35000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
24       4.55000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
25       4.75000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
26       4.95000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
27       5.15000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
28       5.35000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
29       5.55000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
30       5.75000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
31       5.95000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
32       6.15000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
33       6.35000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
34       6.55000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
35       6.75000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
36       6.95000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
37       7.15000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
38       7.35000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
39       7.55000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
40       7.75000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
41       7.95000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
42       8.15000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
43       8.35000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
44       8.55000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
45       8.75000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
46       8.95000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
47       9.15000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
48       9.35000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
49       9.55000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
50       9.75000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
51       9.95000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
52       1.01500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
53       1.03500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
54       1.05500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
55       1.07500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
56       1.09500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
57       1.11500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
58       1.13500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
59       1.15500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
60       1.17500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
61       1.19500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
62       1.21500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
63       1.23500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
64       1.25500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
65       1.27500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
66       1.29500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
67       1.31500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
68       1.33500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
69       1.35500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
70       1.37500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
71       1.39500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
72       1.41500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
73       1.43500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
74       1.45500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
75       1.47500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
76       1.49500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
77       1.51500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
78       1.53500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
79       1.55500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
80       1.57500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
81       1.59500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
82       1.61500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
83       1.63500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
84       1.65500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
85       1.67500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
86       1.69500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
87       1.71500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
88       1.73500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
89       1.75500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
90       1.77500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
91       1.79500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
92       1.81500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
93       1.83500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
94       1.85500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
95       1.87500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
96       1.89500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
97       1.91500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
98       1.93500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
99       1.95500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
100      1.97500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
101      1.99500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
102      2.01500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
103      2.03500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
104      2.05500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
105      2.07500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
106      2.09500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
107      2.11500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
108      2.13500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
109      2.15500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
110      2.17500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
111      2.19500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198117e-09    1.43198117e-09    1.20000000e+00    1.43198117e-09
112      2.21500000e-08    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.43198098e-09    1.43198097e-09    1.20000000e+00    1.43198097e-09
