TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
0.00000000e+00,0.00000000e+00,-4.53600003e-04,-5.44320004e-04,5.44320004e-04
5.00000000e-11,5.00000000e-11,-1.54653267e-04,-1.85583921e-04,1.85583921e-04
6.42585419e-11,6.42585419e-11,-8.13429700e-05,-9.76115640e-05,9.76115640e-05
7.70912297e-11,7.70912297e-11,-4.24508901e-05,-5.09410681e-05,5.09410681e-05
8.99239174e-11,8.99239174e-11,-2.16863358e-05,-2.60236029e-05,2.60236029e-05
1.02756605e-10,1.02756605e-10,-7.48520206e-06,-8.98224247e-06,8.98224247e-06
1.28421981e-10,1.28421981e-10,-3.90498594e-08,-4.68598313e-08,4.68598313e-08
1.54087356e-10,1.54087356e-10,-1.41864425e-08,-1.70237310e-08,1.70237310e-08
2.04087356e-10,2.04087356e-10,1.15356281e-08,1.38427538e-08,-1.38427538e-08
2.54087356e-10,2.54087356e-10,-9.53270301e-09,-1.14392436e-08,1.14392436e-08
3.04087356e-10,3.04087356e-10,7.90534977e-09,9.48641972e-09,-9.48641972e-09
3.54087356e-10,3.54087356e-10,-6.58438593e-09,-7.90126312e-09,7.90126312e-09
4.04087356e-10,4.04087356e-10,5.47211058e-09,6.56653270e-09,-6.56653270e-09
4.54087356e-10,4.54087356e-10,-4.56406221e-09,-5.47687465e-09,5.47687465e-09
5.04087356e-10,5.04087356e-10,3.79100224e-09,4.54920269e-09,-4.54920269e-09
5.54087356e-10,5.54087356e-10,-3.16422164e-09,-3.79706596e-09,3.79706596e-09
6.04087356e-10,6.04087356e-10,2.62516982e-09,3.15020378e-09,-3.15020378e-09
6.54087356e-10,6.54087356e-10,-2.19329666e-09,-2.63195599e-09,2.63195599e-09
7.04087356e-10,7.04087356e-10,1.81663910e-09,2.17996692e-09,-2.17996692e-09
7.54087356e-10,7.54087356e-10,-1.52007231e-09,-1.82408677e-09,1.82408677e-09
8.04087356e-10,8.04087356e-10,1.25614438e-09,1.50737326e-09,-1.50737326e-09
8.54087356e-10,8.54087356e-10,-1.05348558e-09,-1.26418270e-09,1.26418270e-09
9.04087356e-10,9.04087356e-10,8.67778017e-10,1.04133362e-09,-1.04133362e-09
9.54087356e-10,9.54087356e-10,-7.30263207e-10,-8.76315848e-10,8.76315848e-10
1.00408736e-09,1.00408736e-09,5.98803514e-10,7.18564216e-10,-7.18564216e-10
1.05408736e-09,1.05408736e-09,-5.06456240e-10,-6.07747488e-10,6.07747488e-10
1.10408736e-09,1.10408736e-09,4.12600095e-10,4.95120114e-10,-4.95120114e-10
1.15408736e-09,1.15408736e-09,-3.51554225e-10,-4.21865070e-10,4.21865070e-10
1.20408736e-09,1.20408736e-09,2.83751517e-10,3.40501821e-10,-3.40501821e-10
1.25408736e-09,1.25408736e-09,-2.44387354e-10,-2.93264825e-10,2.93264825e-10
