Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)            V(_2_)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.20000000e+00    1.20000000e+00
1        5.00000000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.00000000e-03    4.72066956e-09    1.31851190e-09    1.20000000e+00    1.20000000e+00    1.20000000e+00
2        1.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.80000000e-02    5.62676189e-09    1.42729999e-09    1.20000000e+00    1.20000000e+00    1.20000000e+00
3        3.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.20000000e-02    5.80862811e-09    1.43627581e-09    1.20000000e+00    1.19999999e+00    1.19999999e+00
4        7.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.00000000e-02    5.65581369e-09    1.42786731e-09    1.20000000e+00    1.19999999e+00    1.20000000e+00
5        1.55000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.86000000e-01    5.79609130e-09    1.43600722e-09    1.20000000e+00    1.19999999e+00    1.19999999e+00
6        3.15000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.78000000e-01    5.66164695e-09    1.42799793e-09    1.20000000e+00    1.19999999e+00    1.20000000e+00
7        3.95000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.74000000e-01    5.72700576e-09    1.43195977e-09    1.20000000e+00    1.19999999e+00    1.19999999e+00
8        4.35000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.22000000e-01    5.73318856e-09    1.43198086e-09    1.20000000e+00    1.19868197e+00    1.19999999e+00
9        4.75000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.70000000e-01    5.78762844e-09    1.43198140e-09    1.20000000e+00    1.18518827e+00    1.19999999e+00
10       4.80611861e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.76734233e-01    5.80463576e-09    1.43198111e-09    1.20000000e+00    1.18113082e+00    1.19999999e+00
11       4.91835583e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.90202700e-01    5.84717966e-09    1.43198098e-09    1.20000000e+00    1.17112462e+00    1.19999999e+00
