Index       TIME              V(A)              V(B)             V(CIN)             V(D)              V(S)              V(C)             V(_04_)           V(_05_)           V(_01_)           V(_02_)           V(_03_)           V(_00_)     
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.00000000e-01    6.00000000e-01    6.00000000e-01    6.00000000e-01    6.00000000e-01    6.00000000e-01
1        5.00000000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.00000000e-03    3.51817888e-09    8.09586987e-09    1.17771624e+00    1.17781117e+00    5.51973881e-02    1.11193168e+00    1.13835544e+00    5.54674767e-02
2        5.15625000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.18750000e-03    3.61250962e-09    8.32650691e-09    1.18772902e+00    1.18780614e+00    4.24089710e-02    1.12448010e+00    1.15025668e+00    4.26846913e-02
3        5.46875000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.56250000e-03    3.77739098e-09    8.75275684e-09    1.19876078e+00    1.19879590e+00    2.32917589e-02    1.14445928e+00    1.16804103e+00    2.35749109e-02
4        5.78125000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    6.93750000e-03    3.90322157e-09    9.12257578e-09    1.19987916e+00    1.19988542e+00    1.38360193e-02    1.15713115e+00    1.17802552e+00    1.41216941e-02
5        6.09375000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.31250000e-03    4.00083878e-09    9.45437999e-09    1.19998824e+00    1.19998914e+00    9.13444949e-03    1.16638309e+00    1.18490448e+00    9.42137591e-03
6        6.40625000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.68750000e-03    4.07556575e-09    9.75547785e-09    1.19999885e+00    1.19999897e+00    6.73260775e-03    1.17354047e+00    1.18959421e+00    7.02058524e-03
7        7.03125000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    8.43750000e-03    4.17727432e-09    1.02813621e-08    1.20000028e+00    1.20000025e+00    4.57735917e-03    1.18371752e+00    1.19518534e+00    4.86721451e-03
8        7.65625000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.18750000e-03    4.23473182e-09    1.07193218e-08    1.19999993e+00    1.19999994e+00    3.80266099e-03    1.18999940e+00    1.19777174e+00    4.09368413e-03
9        8.90625000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.06875000e-02    4.28585751e-09    1.13924910e-08    1.20000004e+00    1.20000003e+00    2.93057196e-03    1.19648561e+00    1.19966004e+00    3.22058169e-03
10       1.01562500e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.21875000e-02    4.29747468e-09    1.18571888e-08    1.19999998e+00    1.19999998e+00    2.35651158e-03    1.19877001e+00    1.19994792e+00    2.64144951e-03
11       1.26562500e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.51875000e-02    4.29859560e-09    1.24117780e-08    1.20000001e+00    1.20000001e+00    1.58372927e-03    1.19997818e+00    1.20000996e+00    1.84963589e-03
12       1.51562500e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.81875000e-02    4.29631888e-09    1.26679575e-08    1.19999999e+00    1.19999999e+00    1.13634796e-03    1.19999944e+00    1.19999806e+00    1.37414288e-03
13       2.01562500e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    2.41875000e-02    4.29586157e-09    1.28544259e-08    1.20000001e+00    1.20000001e+00    6.75296918e-04    1.20000026e+00    1.20000098e+00    8.31594743e-04
14       2.51562500e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.01875000e-02    4.29596140e-09    1.28827533e-08    1.19999999e+00    1.19999999e+00    5.08263746e-04    1.19999983e+00    1.19999949e+00    5.63364716e-04
15       3.51562500e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.21875000e-02    4.29593367e-09    1.28888005e-08    1.20000001e+00    1.20000001e+00    3.30714903e-04    1.20000013e+00    1.20000037e+00    2.98215984e-04
