TIME,TIME,I(VDD),{-V(VDD)*I(VDD)}
0.00000000e+00,0.00000000e+00,-3.02285175e-11,3.62742210e-11
2.00000000e-11,2.00000000e-11,-3.02285174e-11,3.62742209e-11
6.00000000e-11,6.00000000e-11,-3.02285174e-11,3.62742209e-11
1.10000000e-10,1.10000000e-10,-3.02285174e-11,3.62742209e-11
1.60000000e-10,1.60000000e-10,-3.02285174e-11,3.62742209e-11
2.10000000e-10,2.10000000e-10,-3.02285174e-11,3.62742209e-11
2.60000000e-10,2.60000000e-10,-3.02285174e-11,3.62742209e-11
3.10000000e-10,3.10000000e-10,-3.02285174e-11,3.62742209e-11
3.60000000e-10,3.60000000e-10,-3.02285174e-11,3.62742209e-11
4.10000000e-10,4.10000000e-10,-3.02285174e-11,3.62742209e-11
4.60000000e-10,4.60000000e-10,-3.02285174e-11,3.62742209e-11
5.10000000e-10,5.10000000e-10,-3.02285174e-11,3.62742209e-11
5.60000000e-10,5.60000000e-10,-3.02285174e-11,3.62742209e-11
6.10000000e-10,6.10000000e-10,-3.02285174e-11,3.62742209e-11
6.60000000e-10,6.60000000e-10,-3.02285174e-11,3.62742209e-11
7.10000000e-10,7.10000000e-10,-3.02285174e-11,3.62742209e-11
7.60000000e-10,7.60000000e-10,-3.02285174e-11,3.62742209e-11
8.10000000e-10,8.10000000e-10,-3.02285174e-11,3.62742209e-11
8.60000000e-10,8.60000000e-10,-3.02285174e-11,3.62742209e-11
9.10000000e-10,9.10000000e-10,-3.02285174e-11,3.62742209e-11
9.60000000e-10,9.60000000e-10,-3.02285174e-11,3.62742209e-11
1.01000000e-09,1.01000000e-09,-3.02285174e-11,3.62742209e-11
1.06000000e-09,1.06000000e-09,-3.02285174e-11,3.62742209e-11
1.11000000e-09,1.11000000e-09,-3.02285174e-11,3.62742209e-11
1.16000000e-09,1.16000000e-09,-3.02285174e-11,3.62742209e-11
1.21000000e-09,1.21000000e-09,-3.02285174e-11,3.62742209e-11
1.26000000e-09,1.26000000e-09,-3.02285174e-11,3.62742209e-11
1.31000000e-09,1.31000000e-09,-3.02285174e-11,3.62742209e-11
1.36000000e-09,1.36000000e-09,-3.02285174e-11,3.62742209e-11
1.41000000e-09,1.41000000e-09,-3.02285174e-11,3.62742209e-11
1.46000000e-09,1.46000000e-09,-3.02285174e-11,3.62742209e-11
1.51000000e-09,1.51000000e-09,-3.02285174e-11,3.62742209e-11
1.56000000e-09,1.56000000e-09,-3.02285174e-11,3.62742209e-11
1.61000000e-09,1.61000000e-09,-3.02285174e-11,3.62742209e-11
1.66000000e-09,1.66000000e-09,-3.02285174e-11,3.62742209e-11
1.71000000e-09,1.71000000e-09,-3.02285174e-11,3.62742209e-11
1.76000000e-09,1.76000000e-09,-3.02285174e-11,3.62742209e-11
1.81000000e-09,1.81000000e-09,-3.02285174e-11,3.62742209e-11
1.86000000e-09,1.86000000e-09,-3.02285174e-11,3.62742209e-11
1.91000000e-09,1.91000000e-09,-3.02285174e-11,3.62742209e-11
1.96000000e-09,1.96000000e-09,-3.02285174e-11,3.62742209e-11
2.01000000e-09,2.01000000e-09,-3.02285174e-11,3.62742209e-11
2.06000000e-09,2.06000000e-09,-3.02285174e-11,3.62742209e-11
2.11000000e-09,2.11000000e-09,-3.02285174e-11,3.62742209e-11
2.16000000e-09,2.16000000e-09,-3.02285174e-11,3.62742209e-11
2.21000000e-09,2.21000000e-09,-3.02285174e-11,3.62742209e-11
2.26000000e-09,2.26000000e-09,-3.02285174e-11,3.62742209e-11
2.31000000e-09,2.31000000e-09,-3.02285174e-11,3.62742209e-11
2.36000000e-09,2.36000000e-09,-3.02285174e-11,3.62742209e-11
2.41000000e-09,2.41000000e-09,-3.02285174e-11,3.62742209e-11
2.46000000e-09,2.46000000e-09,-3.02285174e-11,3.62742209e-11
2.51000000e-09,2.51000000e-09,-3.02285174e-11,3.62742209e-11
2.56000000e-09,2.56000000e-09,-3.02285174e-11,3.62742209e-11
2.61000000e-09,2.61000000e-09,-3.02285174e-11,3.62742209e-11
2.66000000e-09,2.66000000e-09,-3.02285174e-11,3.62742209e-11
2.71000000e-09,2.71000000e-09,-3.02285174e-11,3.62742209e-11
2.76000000e-09,2.76000000e-09,-3.02285174e-11,3.62742209e-11
2.81000000e-09,2.81000000e-09,-3.02285174e-11,3.62742209e-11
2.86000000e-09,2.86000000e-09,-3.02285174e-11,3.62742209e-11
2.91000000e-09,2.91000000e-09,-3.02285174e-11,3.62742209e-11
2.96000000e-09,2.96000000e-09,-3.02285174e-11,3.62742209e-11
3.01000000e-09,3.01000000e-09,-3.02285174e-11,3.62742209e-11
3.06000000e-09,3.06000000e-09,-3.02285174e-11,3.62742209e-11
3.11000000e-09,3.11000000e-09,-3.02285174e-11,3.62742209e-11
3.16000000e-09,3.16000000e-09,-3.02285174e-11,3.62742209e-11
3.21000000e-09,3.21000000e-09,-3.02285174e-11,3.62742209e-11
3.26000000e-09,3.26000000e-09,-3.02285174e-11,3.62742209e-11
3.31000000e-09,3.31000000e-09,-3.02285174e-11,3.62742209e-11
3.36000000e-09,3.36000000e-09,-3.02285174e-11,3.62742209e-11
3.41000000e-09,3.41000000e-09,-3.02285174e-11,3.62742209e-11
3.46000000e-09,3.46000000e-09,-3.02285174e-11,3.62742209e-11
3.51000000e-09,3.51000000e-09,-3.02285174e-11,3.62742209e-11
3.56000000e-09,3.56000000e-09,-3.02285174e-11,3.62742209e-11
3.61000000e-09,3.61000000e-09,-3.02285174e-11,3.62742209e-11
3.66000000e-09,3.66000000e-09,-3.02285174e-11,3.62742209e-11
3.71000000e-09,3.71000000e-09,-3.02285174e-11,3.62742209e-11
3.76000000e-09,3.76000000e-09,-3.02285174e-11,3.62742209e-11
3.81000000e-09,3.81000000e-09,-3.02285174e-11,3.62742209e-11
3.86000000e-09,3.86000000e-09,-3.02285174e-11,3.62742209e-11
3.91000000e-09,3.91000000e-09,-3.02285174e-11,3.62742209e-11
3.96000000e-09,3.96000000e-09,-3.02285174e-11,3.62742209e-11
4.01000000e-09,4.01000000e-09,-3.02285174e-11,3.62742209e-11
4.06000000e-09,4.06000000e-09,-3.02285174e-11,3.62742209e-11
4.11000000e-09,4.11000000e-09,-3.02285174e-11,3.62742209e-11
4.16000000e-09,4.16000000e-09,-3.02285174e-11,3.62742209e-11
4.21000000e-09,4.21000000e-09,-3.02285174e-11,3.62742209e-11
4.26000000e-09,4.26000000e-09,-3.02285174e-11,3.62742209e-11
4.31000000e-09,4.31000000e-09,-3.02285174e-11,3.62742209e-11
4.36000000e-09,4.36000000e-09,-3.02285174e-11,3.62742209e-11
4.41000000e-09,4.41000000e-09,-3.02285174e-11,3.62742209e-11
4.46000000e-09,4.46000000e-09,-3.02285174e-11,3.62742209e-11
4.51000000e-09,4.51000000e-09,-3.02285174e-11,3.62742209e-11
4.56000000e-09,4.56000000e-09,-3.02285174e-11,3.62742209e-11
4.61000000e-09,4.61000000e-09,-3.02285174e-11,3.62742209e-11
4.66000000e-09,4.66000000e-09,-3.02285174e-11,3.62742209e-11
4.71000000e-09,4.71000000e-09,-3.02285174e-11,3.62742209e-11
4.76000000e-09,4.76000000e-09,-3.02285174e-11,3.62742209e-11
4.81000000e-09,4.81000000e-09,-3.02285174e-11,3.62742209e-11
4.86000000e-09,4.86000000e-09,-3.02285174e-11,3.62742209e-11
4.91000000e-09,4.91000000e-09,-3.02285174e-11,3.62742209e-11
4.96000000e-09,4.96000000e-09,-3.02285174e-11,3.62742209e-11
5.01000000e-09,5.01000000e-09,-3.02285174e-11,3.62742209e-11
5.06000000e-09,5.06000000e-09,-3.02285174e-11,3.62742209e-11
5.11000000e-09,5.11000000e-09,-3.02285174e-11,3.62742209e-11
5.16000000e-09,5.16000000e-09,-3.02285174e-11,3.62742209e-11
5.21000000e-09,5.21000000e-09,-3.02285174e-11,3.62742209e-11
5.26000000e-09,5.26000000e-09,-3.02285174e-11,3.62742209e-11
5.31000000e-09,5.31000000e-09,-3.02285174e-11,3.62742209e-11
5.36000000e-09,5.36000000e-09,-3.02285174e-11,3.62742209e-11
5.41000000e-09,5.41000000e-09,-3.02285174e-11,3.62742209e-11
5.46000000e-09,5.46000000e-09,-3.02285174e-11,3.62742209e-11
5.51000000e-09,5.51000000e-09,-3.02285174e-11,3.62742209e-11
5.56000000e-09,5.56000000e-09,-3.02285174e-11,3.62742209e-11
5.61000000e-09,5.61000000e-09,-3.02285174e-11,3.62742209e-11
5.66000000e-09,5.66000000e-09,-3.02285174e-11,3.62742209e-11
5.71000000e-09,5.71000000e-09,-3.02285174e-11,3.62742209e-11
5.76000000e-09,5.76000000e-09,-3.02285174e-11,3.62742209e-11
5.81000000e-09,5.81000000e-09,-3.02285174e-11,3.62742209e-11
5.86000000e-09,5.86000000e-09,-3.02285174e-11,3.62742209e-11
5.91000000e-09,5.91000000e-09,-3.02285174e-11,3.62742209e-11
5.96000000e-09,5.96000000e-09,-3.02285174e-11,3.62742209e-11
6.01000000e-09,6.01000000e-09,-3.02285174e-11,3.62742209e-11
6.06000000e-09,6.06000000e-09,-3.02285174e-11,3.62742209e-11
6.11000000e-09,6.11000000e-09,-3.02285174e-11,3.62742209e-11
6.16000000e-09,6.16000000e-09,-3.02285174e-11,3.62742209e-11
6.21000000e-09,6.21000000e-09,-3.02285174e-11,3.62742209e-11
6.26000000e-09,6.26000000e-09,-3.02285174e-11,3.62742209e-11
6.31000000e-09,6.31000000e-09,-3.02285174e-11,3.62742209e-11
6.36000000e-09,6.36000000e-09,-3.02285174e-11,3.62742209e-11
6.41000000e-09,6.41000000e-09,-3.02285174e-11,3.62742209e-11
6.46000000e-09,6.46000000e-09,-3.02285174e-11,3.62742209e-11
6.51000000e-09,6.51000000e-09,-3.02285174e-11,3.62742209e-11
6.56000000e-09,6.56000000e-09,-3.02285174e-11,3.62742209e-11
6.61000000e-09,6.61000000e-09,-3.02285174e-11,3.62742209e-11
6.66000000e-09,6.66000000e-09,-3.02285174e-11,3.62742209e-11
6.71000000e-09,6.71000000e-09,-3.02285174e-11,3.62742209e-11
6.76000000e-09,6.76000000e-09,-3.02285174e-11,3.62742209e-11
6.81000000e-09,6.81000000e-09,-3.02285174e-11,3.62742209e-11
6.86000000e-09,6.86000000e-09,-3.02285174e-11,3.62742209e-11
6.91000000e-09,6.91000000e-09,-3.02285174e-11,3.62742209e-11
6.96000000e-09,6.96000000e-09,-3.02285174e-11,3.62742209e-11
7.01000000e-09,7.01000000e-09,-3.02285174e-11,3.62742209e-11
7.06000000e-09,7.06000000e-09,-3.02285174e-11,3.62742209e-11
7.11000000e-09,7.11000000e-09,-3.02285174e-11,3.62742209e-11
7.16000000e-09,7.16000000e-09,-3.02285174e-11,3.62742209e-11
7.21000000e-09,7.21000000e-09,-3.02285174e-11,3.62742209e-11
7.26000000e-09,7.26000000e-09,-3.02285174e-11,3.62742209e-11
7.31000000e-09,7.31000000e-09,-3.02285174e-11,3.62742209e-11
7.36000000e-09,7.36000000e-09,-3.02285174e-11,3.62742209e-11
7.41000000e-09,7.41000000e-09,-3.02285174e-11,3.62742209e-11
7.46000000e-09,7.46000000e-09,-3.02285174e-11,3.62742209e-11
7.51000000e-09,7.51000000e-09,-3.02285174e-11,3.62742209e-11
