Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)              V(C)       
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        2.00000000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    4.45073786e-09    0.00000000e+00
2        6.00000000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    7.42420265e-09    0.00000000e+00
3        1.10000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.15812961e-09    0.00000000e+00
4        1.60000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06154714e-09    0.00000000e+00
5        2.10000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.07154782e-09    0.00000000e+00
6        2.60000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06720377e-09    0.00000000e+00
7        3.10000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.07036521e-09    0.00000000e+00
8        3.60000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06794761e-09    0.00000000e+00
9        4.10000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06980285e-09    0.00000000e+00
10       4.60000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06837884e-09    0.00000000e+00
11       5.10000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06947190e-09    0.00000000e+00
12       5.60000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06863283e-09    0.00000000e+00
13       6.10000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06927689e-09    0.00000000e+00
14       6.60000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06878248e-09    0.00000000e+00
15       7.10000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06916199e-09    0.00000000e+00
16       7.60000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06887074e-09    0.00000000e+00
17       8.10000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06909424e-09    0.00000000e+00
18       8.60000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06892268e-09    0.00000000e+00
19       9.10000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06905447e-09    0.00000000e+00
20       9.60000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06895327e-09    0.00000000e+00
21       1.01000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06903095e-09    0.00000000e+00
22       1.06000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.06897131e-09    0.00000000e+00
