TIME,TIME,I(VDD),{-V(VDD)*I(VDD)}
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-11,5.00000000e-11,-2.41125015e-01,2.89350018e-01
5.00003815e-11,5.00003815e-11,-1.12496282e-03,1.34995539e-03
5.00003830e-11,5.00003830e-11,-1.12496262e-03,1.34995514e-03
5.00003843e-11,5.00003843e-11,-1.12496243e-03,1.34995492e-03
5.00003870e-11,5.00003870e-11,-1.12496207e-03,1.34995448e-03
5.00003923e-11,5.00003923e-11,-1.12496133e-03,1.34995360e-03
5.00004031e-11,5.00004031e-11,-1.12495987e-03,1.34995184e-03
5.00004245e-11,5.00004245e-11,-1.12495694e-03,1.34994832e-03
5.00004674e-11,5.00004674e-11,-1.12495107e-03,1.34994128e-03
5.00005533e-11,5.00005533e-11,-1.12493934e-03,1.34992720e-03
5.00007249e-11,5.00007249e-11,-1.12491587e-03,1.34989905e-03
5.00010683e-11,5.00010683e-11,-1.12486895e-03,1.34984274e-03
5.00017549e-11,5.00017549e-11,-1.12477511e-03,1.34973013e-03
5.00031282e-11,5.00031282e-11,-1.12458749e-03,1.34950499e-03
5.00058748e-11,5.00058748e-11,-1.12421245e-03,1.34905494e-03
5.00113679e-11,5.00113679e-11,-1.12346321e-03,1.34815585e-03
5.00223543e-11,5.00223543e-11,-1.12196804e-03,1.34636165e-03
5.00443269e-11,5.00443269e-11,-1.11899089e-03,1.34278907e-03
5.00662996e-11,5.00662996e-11,-1.11603123e-03,1.33923748e-03
5.00882722e-11,5.00882722e-11,-1.11308894e-03,1.33570672e-03
5.01102449e-11,5.01102449e-11,-1.11016386e-03,1.33219664e-03
5.01322176e-11,5.01322176e-11,-1.10725588e-03,1.32870706e-03
5.01541902e-11,5.01541902e-11,-1.10436486e-03,1.32523783e-03
5.01761629e-11,5.01761629e-11,-1.10149067e-03,1.32178880e-03
5.01981355e-11,5.01981355e-11,-1.09863317e-03,1.31835981e-03
5.02201082e-11,5.02201082e-11,-1.09579224e-03,1.31495069e-03
5.02420808e-11,5.02420808e-11,-1.09296775e-03,1.31156130e-03
5.02640535e-11,5.02640535e-11,-1.09015956e-03,1.30819147e-03
5.02860261e-11,5.02860261e-11,-1.08736755e-03,1.30484106e-03
5.03079988e-11,5.03079988e-11,-1.08459159e-03,1.30150991e-03
5.03299715e-11,5.03299715e-11,-1.08183155e-03,1.29819787e-03
5.03519441e-11,5.03519441e-11,-1.07908731e-03,1.29490477e-03
5.03739168e-11,5.03739168e-11,-1.07635874e-03,1.29163049e-03
5.03958894e-11,5.03958894e-11,-1.07364571e-03,1.28837485e-03
5.04178621e-11,5.04178621e-11,-1.07094809e-03,1.28513771e-03
5.04398347e-11,5.04398347e-11,-1.06826577e-03,1.28191893e-03
5.04618074e-11,5.04618074e-11,-1.06559862e-03,1.27871834e-03
5.04837801e-11,5.04837801e-11,-1.06294651e-03,1.27553581e-03
5.05057527e-11,5.05057527e-11,-1.06030933e-03,1.27237119e-03
5.05277254e-11,5.05277254e-11,-1.05768695e-03,1.26922434e-03
5.05496980e-11,5.05496980e-11,-1.05507925e-03,1.26609509e-03
5.05716707e-11,5.05716707e-11,-1.05248610e-03,1.26298333e-03
5.05936433e-11,5.05936433e-11,-1.04990740e-03,1.25988889e-03
5.06156160e-11,5.06156160e-11,-1.04734303e-03,1.25681163e-03
5.06375886e-11,5.06375886e-11,-1.04479285e-03,1.25375142e-03
5.06595613e-11,5.06595613e-11,-1.04225676e-03,1.25070812e-03
5.06815340e-11,5.06815340e-11,-1.03973464e-03,1.24768157e-03
5.07035066e-11,5.07035066e-11,-1.03722638e-03,1.24467166e-03
5.07254793e-11,5.07254793e-11,-1.03473185e-03,1.24167822e-03
5.07474519e-11,5.07474519e-11,-1.03225095e-03,1.23870114e-03
5.07913972e-11,5.07913972e-11,-1.02732950e-03,1.23279540e-03
5.08353426e-11,5.08353426e-11,-1.02246119e-03,1.22695343e-03
5.08792879e-11,5.08792879e-11,-1.01764514e-03,1.22117417e-03
5.09232332e-11,5.09232332e-11,-1.01288047e-03,1.21545657e-03
5.09671785e-11,5.09671785e-11,-1.00816632e-03,1.20979959e-03
5.10111238e-11,5.10111238e-11,-1.00350184e-03,1.20420221e-03
5.10550691e-11,5.10550691e-11,-9.98886186e-04,1.19866342e-03
5.10990144e-11,5.10990144e-11,-9.94318533e-04,1.19318224e-03
5.11429597e-11,5.11429597e-11,-9.89798065e-04,1.18775768e-03
5.11869051e-11,5.11869051e-11,-9.85323981e-04,1.18238878e-03
5.12308504e-11,5.12308504e-11,-9.80895491e-04,1.17707459e-03
5.12747957e-11,5.12747957e-11,-9.76511817e-04,1.17181418e-03
5.13187410e-11,5.13187410e-11,-9.72172193e-04,1.16660663e-03
5.13626863e-11,5.13626863e-11,-9.67875866e-04,1.16145104e-03
5.14066316e-11,5.14066316e-11,-9.63622092e-04,1.15634651e-03
5.14505769e-11,5.14505769e-11,-9.59410144e-04,1.15129217e-03
5.14945222e-11,5.14945222e-11,-9.55239302e-04,1.14628716e-03
5.15384676e-11,5.15384676e-11,-9.51108861e-04,1.14133063e-03
5.15824129e-11,5.15824129e-11,-9.47018126e-04,1.13642175e-03
5.16263582e-11,5.16263582e-11,-9.42966415e-04,1.13155970e-03
5.16703035e-11,5.16703035e-11,-9.38953057e-04,1.12674367e-03
5.17142488e-11,5.17142488e-11,-9.34977391e-04,1.12197287e-03
5.17581941e-11,5.17581941e-11,-9.31038769e-04,1.11724652e-03
5.18021394e-11,5.18021394e-11,-9.27136554e-04,1.11256386e-03
5.18460847e-11,5.18460847e-11,-9.23270120e-04,1.10792414e-03
5.18900301e-11,5.18900301e-11,-9.19438851e-04,1.10332662e-03
5.19339754e-11,5.19339754e-11,-9.15642144e-04,1.09877057e-03
5.19779207e-11,5.19779207e-11,-9.11879406e-04,1.09425529e-03
5.20218660e-11,5.20218660e-11,-9.08150052e-04,1.08978006e-03
5.20658113e-11,5.20658113e-11,-9.04453511e-04,1.08534421e-03
5.21097566e-11,5.21097566e-11,-9.00789221e-04,1.08094707e-03
5.21537019e-11,5.21537019e-11,-8.97156631e-04,1.07658796e-03
5.21976472e-11,5.21976472e-11,-8.93555198e-04,1.07226624e-03
5.22415926e-11,5.22415926e-11,-8.89984392e-04,1.06798127e-03
5.22855379e-11,5.22855379e-11,-8.86443690e-04,1.06373243e-03
5.23294832e-11,5.23294832e-11,-8.82932582e-04,1.05951910e-03
5.23734285e-11,5.23734285e-11,-8.79450563e-04,1.05534068e-03
5.24173738e-11,5.24173738e-11,-8.75997143e-04,1.05119657e-03
5.24613191e-11,5.24613191e-11,-8.72571836e-04,1.04708620e-03
5.25052644e-11,5.25052644e-11,-8.69174169e-04,1.04300900e-03
5.25492097e-11,5.25492097e-11,-8.65803677e-04,1.03896441e-03
5.25931551e-11,5.25931551e-11,-8.62459904e-04,1.03495188e-03
5.26371004e-11,5.26371004e-11,-8.59142401e-04,1.03097088e-03
5.26810457e-11,5.26810457e-11,-8.55850731e-04,1.02702088e-03
5.27249910e-11,5.27249910e-11,-8.52584462e-04,1.02310135e-03
5.27689363e-11,5.27689363e-11,-8.49343174e-04,1.01921181e-03
5.28128816e-11,5.28128816e-11,-8.46126451e-04,1.01535174e-03
5.28568269e-11,5.28568269e-11,-8.42933890e-04,1.01152067e-03
5.29007722e-11,5.29007722e-11,-8.39765092e-04,1.00771811e-03
5.29447176e-11,5.29447176e-11,-8.36619668e-04,1.00394360e-03
5.29886629e-11,5.29886629e-11,-8.33497235e-04,1.00019668e-03
5.30326082e-11,5.30326082e-11,-8.30397420e-04,9.96476904e-04
5.30765535e-11,5.30765535e-11,-8.27319855e-04,9.92783826e-04
5.31204988e-11,5.31204988e-11,-8.24264182e-04,9.89117019e-04
5.31644441e-11,5.31644441e-11,-8.21230048e-04,9.85476057e-04
5.32083894e-11,5.32083894e-11,-8.18217107e-04,9.81860529e-04
5.32523347e-11,5.32523347e-11,-8.15225022e-04,9.78270027e-04
5.32962801e-11,5.32962801e-11,-8.12253462e-04,9.74704155e-04
5.33402254e-11,5.33402254e-11,-8.09302101e-04,9.71162521e-04
5.33841707e-11,5.33841707e-11,-8.06370622e-04,9.67644747e-04
5.34281160e-11,5.34281160e-11,-8.03458713e-04,9.64150456e-04
5.34720613e-11,5.34720613e-11,-8.00566070e-04,9.60679284e-04
5.35160066e-11,5.35160066e-11,-7.97692392e-04,9.57230871e-04
5.35599519e-11,5.35599519e-11,-7.94837389e-04,9.53804866e-04
5.36038972e-11,5.36038972e-11,-7.92000771e-04,9.50400925e-04
5.36478426e-11,5.36478426e-11,-7.89182260e-04,9.47018712e-04
