Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)     
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46645710e-09    3.92633247e-09
2        5.00003815e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46649882e-09    3.92636242e-09
3        5.00003830e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46649898e-09    3.92636254e-09
4        5.00003843e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46649913e-09    3.92636265e-09
5        5.00003870e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46649942e-09    3.92636286e-09
6        5.00003923e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46650001e-09    3.92636328e-09
7        5.00004031e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46650118e-09    3.92636412e-09
8        5.00004245e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46650353e-09    3.92636581e-09
9        5.00004674e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46650822e-09    3.92636918e-09
10       5.00005533e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46651761e-09    3.92637592e-09
11       5.00007249e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46653638e-09    3.92638939e-09
12       5.00010683e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46657392e-09    3.92641635e-09
13       5.00017549e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46664901e-09    3.92647025e-09
14       5.00031282e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.46679916e-09    3.92657804e-09
