TIME,TIME,I(VDD),{-V(VDD)*I(VDD)}
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-12,5.00000000e-12,-2.40046418e+01,2.88055702e+01
5.00000954e-12,5.00000954e-12,-4.64182787e-03,5.57019345e-03
5.00000954e-12,5.00000954e-12,-4.64182787e-03,5.57019345e-03
5.00000954e-12,5.00000954e-12,-4.64182787e-03,5.57019345e-03
5.00000954e-12,5.00000954e-12,-4.64182787e-03,5.57019345e-03
5.00000954e-12,5.00000954e-12,-4.64182787e-03,5.57019345e-03
5.00000955e-12,5.00000955e-12,-4.64182787e-03,5.57019344e-03
5.00000956e-12,5.00000956e-12,-4.64182787e-03,5.57019344e-03
5.00000958e-12,5.00000958e-12,-4.64182787e-03,5.57019344e-03
5.00000961e-12,5.00000961e-12,-4.64182786e-03,5.57019343e-03
5.00000969e-12,5.00000969e-12,-4.64182785e-03,5.57019342e-03
5.00000984e-12,5.00000984e-12,-4.64182783e-03,5.57019339e-03
5.00001013e-12,5.00001013e-12,-4.64182778e-03,5.57019334e-03
5.00001073e-12,5.00001073e-12,-4.64182769e-03,5.57019323e-03
5.00001192e-12,5.00001192e-12,-4.64182752e-03,5.57019302e-03
5.00001431e-12,5.00001431e-12,-4.64182716e-03,5.57019260e-03
5.00001908e-12,5.00001908e-12,-4.64182646e-03,5.57019175e-03
5.00002861e-12,5.00002861e-12,-4.64182504e-03,5.57019005e-03
5.00004769e-12,5.00004769e-12,-4.64182221e-03,5.57018665e-03
5.00008583e-12,5.00008583e-12,-4.64181655e-03,5.57017986e-03
5.00016213e-12,5.00016213e-12,-4.64180523e-03,5.57016628e-03
5.00031471e-12,5.00031471e-12,-4.64178259e-03,5.57013911e-03
5.00061989e-12,5.00061989e-12,-4.64173731e-03,5.57008477e-03
5.00123024e-12,5.00123024e-12,-4.64164673e-03,5.56997607e-03
5.00245094e-12,5.00245094e-12,-4.64146548e-03,5.56975858e-03
5.00489235e-12,5.00489235e-12,-4.64110271e-03,5.56932326e-03
5.00977516e-12,5.00977516e-12,-4.64037602e-03,5.56845123e-03
5.01954079e-12,5.01954079e-12,-4.63891810e-03,5.56670172e-03
5.02930641e-12,5.02930641e-12,-4.63745418e-03,5.56494502e-03
5.03907204e-12,5.03907204e-12,-4.63598435e-03,5.56318122e-03
5.04883766e-12,5.04883766e-12,-4.63450869e-03,5.56141043e-03
5.05860329e-12,5.05860329e-12,-4.63302729e-03,5.55963275e-03
5.06836891e-12,5.06836891e-12,-4.63154024e-03,5.55784828e-03
5.07813454e-12,5.07813454e-12,-4.63004760e-03,5.55605712e-03
5.08790016e-12,5.08790016e-12,-4.62854948e-03,5.55425938e-03
5.09766579e-12,5.09766579e-12,-4.62704595e-03,5.55245514e-03
5.10743141e-12,5.10743141e-12,-4.62553709e-03,5.55064451e-03
5.11719704e-12,5.11719704e-12,-4.62402300e-03,5.54882760e-03
5.12696266e-12,5.12696266e-12,-4.62250374e-03,5.54700449e-03
5.13672829e-12,5.13672829e-12,-4.62097942e-03,5.54517530e-03
5.14649391e-12,5.14649391e-12,-4.61945010e-03,5.54334011e-03
5.15625954e-12,5.15625954e-12,-4.61791587e-03,5.54149904e-03
5.16602516e-12,5.16602516e-12,-4.61637681e-03,5.53965217e-03
5.17579079e-12,5.17579079e-12,-4.61483301e-03,5.53779961e-03
5.18555641e-12,5.18555641e-12,-4.61328454e-03,5.53594145e-03
5.19532204e-12,5.19532204e-12,-4.61173150e-03,5.53407780e-03
5.20508766e-12,5.20508766e-12,-4.61017395e-03,5.53220874e-03
5.21485329e-12,5.21485329e-12,-4.60861199e-03,5.53033439e-03
5.22461891e-12,5.22461891e-12,-4.60704569e-03,5.52845483e-03
5.23438454e-12,5.23438454e-12,-4.60547514e-03,5.52657017e-03
5.24415016e-12,5.24415016e-12,-4.60390041e-03,5.52468049e-03
5.25391579e-12,5.25391579e-12,-4.60232158e-03,5.52278590e-03
5.26368141e-12,5.26368141e-12,-4.60073874e-03,5.52088649e-03
5.27344704e-12,5.27344704e-12,-4.59915197e-03,5.51898236e-03
5.28321266e-12,5.28321266e-12,-4.59756134e-03,5.51707361e-03
5.29297829e-12,5.29297829e-12,-4.59596693e-03,5.51516032e-03
5.30274391e-12,5.30274391e-12,-4.59436883e-03,5.51324260e-03
5.31250954e-12,5.31250954e-12,-4.59276711e-03,5.51132053e-03
5.32227516e-12,5.32227516e-12,-4.59116185e-03,5.50939422e-03
5.33204079e-12,5.33204079e-12,-4.58955312e-03,5.50746375e-03
5.34180641e-12,5.34180641e-12,-4.58794101e-03,5.50552922e-03
5.35157204e-12,5.35157204e-12,-4.58632560e-03,5.50359072e-03
5.36133766e-12,5.36133766e-12,-4.58470695e-03,5.50164834e-03
5.37110329e-12,5.37110329e-12,-4.58308515e-03,5.49970218e-03
5.38086891e-12,5.38086891e-12,-4.58146027e-03,5.49775232e-03
5.39063454e-12,5.39063454e-12,-4.57983238e-03,5.49579886e-03
5.40040016e-12,5.40040016e-12,-4.57820149e-03,5.49384179e-03
5.41016579e-12,5.41016579e-12,-4.57656284e-03,5.49187541e-03
5.41993141e-12,5.41993141e-12,-4.57491367e-03,5.48989640e-03
5.42969704e-12,5.42969704e-12,-4.57325403e-03,5.48790484e-03
5.43946266e-12,5.43946266e-12,-4.57158398e-03,5.48590078e-03
5.44922829e-12,5.44922829e-12,-4.56990359e-03,5.48388430e-03
