TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
0.00000000e+00,0.00000000e+00,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
5.00000000e-11,5.00000000e-11,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
1.50000000e-10,1.50000000e-10,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
3.50000000e-10,3.50000000e-10,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
5.50000000e-10,5.50000000e-10,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
7.50000000e-10,7.50000000e-10,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
9.50000000e-10,9.50000000e-10,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
1.15000000e-09,1.15000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
1.35000000e-09,1.35000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
1.55000000e-09,1.55000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
1.75000000e-09,1.75000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
1.95000000e-09,1.95000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
2.15000000e-09,2.15000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
2.35000000e-09,2.35000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
2.55000000e-09,2.55000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
2.75000000e-09,2.75000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
2.95000000e-09,2.95000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
3.15000000e-09,3.15000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
3.35000000e-09,3.35000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
3.55000000e-09,3.55000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
3.75000000e-09,3.75000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
3.95000000e-09,3.95000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
4.15000000e-09,4.15000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
4.35000000e-09,4.35000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
4.55000000e-09,4.55000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
4.75000000e-09,4.75000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
4.95000000e-09,4.95000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
5.15000000e-09,5.15000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
5.35000000e-09,5.35000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
5.55000000e-09,5.55000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
5.75000000e-09,5.75000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
5.95000000e-09,5.95000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
6.15000000e-09,6.15000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
6.35000000e-09,6.35000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
6.55000000e-09,6.55000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
6.75000000e-09,6.75000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
6.95000000e-09,6.95000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
7.15000000e-09,7.15000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
7.35000000e-09,7.35000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
7.55000000e-09,7.55000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
7.75000000e-09,7.75000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
7.95000000e-09,7.95000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
8.15000000e-09,8.15000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
8.35000000e-09,8.35000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
8.55000000e-09,8.55000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
8.75000000e-09,8.75000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
8.95000000e-09,8.95000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
9.15000000e-09,9.15000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
9.35000000e-09,9.35000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
9.55000000e-09,9.55000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
9.75000000e-09,9.75000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
9.95000000e-09,9.95000000e-09,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
1.01500000e-08,1.01500000e-08,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
1.03500000e-08,1.03500000e-08,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
1.05500000e-08,1.05500000e-08,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
1.07500000e-08,1.07500000e-08,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
1.09500000e-08,1.09500000e-08,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
1.11500000e-08,1.11500000e-08,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
1.13500000e-08,1.13500000e-08,-1.49756581e-11,-1.79707897e-11,1.79707897e-11
