Index       TIME              V(A)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124617e-09    1.20000000e+00    1.20000000e+00
1        5.00000000e-11    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124617e-09    1.20000000e+00    1.20000000e+00
2        1.00000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124617e-09    1.20000000e+00    1.20000000e+00
3        1.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124613e-09    1.20000000e+00    1.20000000e+00
4        2.00000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124611e-09    1.20000000e+00    1.20000000e+00
5        2.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124611e-09    1.20000000e+00    1.20000000e+00
6        3.00000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
7        3.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
8        4.00000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
9        4.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
10       5.00000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
11       5.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
12       6.00000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
13       6.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
14       7.00000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
15       7.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
16       8.00000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
17       8.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
18       9.00000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
19       9.50000000e-10    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
20       1.00000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
21       1.05000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
22       1.10000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
23       1.15000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
24       1.20000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
25       1.25000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
26       1.30000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
27       1.35000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
28       1.40000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
29       1.45000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
30       1.50000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
31       1.55000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
32       1.60000000e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.20000000e+00    1.60124610e-09    1.20000000e+00    1.20000000e+00
